X11.PDX8.ccRCC.htseq2	X17.PDX2.2180.P1.htseq2	X26.PDX2.2181.P1.htseq2	X29.PDX2.2192.P1.htseq2	X2.PDX2.normal.htseq2	X34.PDX2.2194.P1.htseq2	X4.PDX3.normal.htseq2	X6.PDX4.ccRCC.htseq2	X7.PDX5.ccRCC.htseq2	X8.PDX5.normal.htseq2
CHMP1B	1135.40759980466	428.567295793877	283.243303901766	354.806856595023	648.129243472094	473.591117477287	640.546530901092	605.623248242847	545.166976801146	599.599933281585
TCOF1	336.056022535948	935.873989765107	2858.39700854199	1744.03223260127	323.743447680808	1072.64233800557	359.138991979875	830.613055478103	473.078781521655	483.995833034492
NSRP1	388.901473408013	273.338196529953	695.126274992251	567.430083157482	528.652494923224	315.727411651524	660.225379776701	781.300221015581	801.98117248433	1099.00964634902
SPPL3	400.701913894008	275.587893620735	311.567634291943	316.978184384525	420.738012362955	287.478116924809	513.61795565341	383.715493161498	515.881147468853	445.461132952128
OPA1	701.869677601797	760.397616684149	486.234338364698	572.647831048586	706.582921525573	628.131376864612	855.045983645236	539.359126933833	772.695343152037	608.848261301352
ITGA8	351.96096406055	0	2.36036086584805	0	156.090590846104	0	335.524373329143	83.2154081555056	216.264585838471	410.009208876353
ITGA1	1091.28421363964	330.705472344882	193.54959099954	118.7037645226	604.449571959604	242.611590005908	342.411970435607	161.80773808015	592.474854953311	295.946496632556
ITGA2	198.042175112788	325.081229617928	231.315364853109	187.838924079718	497.177437509812	327.359474186054	556.911423179751	57.0179648472909	146.429146661465	342.188136731393
ITGA3	641.84134991217	3137.20259309481	4125.91079350239	5640.38547028265	2465.33204801377	4103.62548986021	2059.39153483254	4015.91395654162	770.442587049553	2870.06446213447
ITGA4	277.053820105972	2.24969709078151	2.36036086584805	2.60887394555164	229.318275440572	2.49258482882782	78.7153955024383	476.177057778727	333.407903167643	61.6555201317825
ITGA5	525.889195571522	1914.49222425506	2976.41505183439	3562.41737265077	500.389178062201	2470.98242697798	345.363797766948	457.684744855281	358.188220294968	223.501260477711
ITGA6	1546.88382892501	340.829109253398	241.936988749425	487.859427818157	1443.99855235408	440.356653092916	1730.75475860986	674.969421705768	1374.18122251529	1123.67185440174
ITGA7	325.281707309605	47.2436389064117	50.7477586157331	63.9174116660152	244.734630092039	46.5282501381194	405.384286837557	64.7230952320599	317.638610450254	314.443152672091
UFSP2	633.11928520513	565.798818331549	452.009105809902	472.206184144847	444.504892450633	542.552631074856	439.822272369874	442.274484085743	446.045708291847	417.716148892826
CHST3	60.0283276896274	0	0	0	283.917864831185	1.66172321921855	284.359366252558	38.5256519238452	99.1212685092992	168.011292359107
ITGAV	1865.49572204688	6780.58703161546	3822.60442224092	4766.41269852285	2819.26585688704	5328.31550242428	2325.05599465327	1892.38002249928	1552.14895461153	1567.59159935057
