Ensembl	GeneSymbol	SigI	Normal	SigII	pIvsN	pIIvsN	pIvsII
ENSG00000111671	SPSB2	110987.812198	81602.2180862	53039.4470136	0.00138946399464	2.82265282959e-06	6.32719274767e-12
ENSG00000110514	MADD	157103.937207	205237.729215	164571.525684	1.22806972995e-08	2.68170893228e-06	0.264033686005
ENSG00000086015	MAST2	101920.559192	74443.3697268	88011.5314101	0.00483828655914	0.722342232307	0.000480812234199
ENSG00000169740	ZNF32	539620.614321	422743.7273	348567.197409	0.0338617864472	4.4738001986e-09	1.47384114324e-12
ENSG00000261609	GAN	11174.8949557	10158.5331428	16282.0408604	0.00128814104443	1.83850761941e-08	0.000397389023336
ENSG00000261603	PRSS46	721.281895135	431.702487699	777.944949504	0.0385267842048	0.179313852869	0.0358981665672
ENSG00000160161	CILP2	1762.14456127	819.884850917	821.874575365	0.0960648040863	0.270061375701	0.235879784005
ENSG00000168298	HIST1H1E	6097.99649561	7868.25904241	2374.84563503	0.00474262222723	7.0568817719e-07	8.92260107978e-06
ENSG00000168297	PXK	44302.859685	192076.827736	65347.8002918	2.14423318215e-26	1.36867073429e-21	8.34596194736e-07
ENSG00000168291	PDHB	236801.394801	508086.599427	190317.420548	5.5248821759e-25	5.7269909605e-31	0.00498758482898
ENSG00000119138	KLF9	506398.116998	708401.791585	899533.690558	2.58819048116e-05	0.334350440003	2.61781504734e-07
ENSG00000149792	MRPL49	416239.980469	743856.690276	473326.160643	4.3297191805e-13	1.30770717331e-17	0.752899133837
ENSG00000197847	SLC22A20	1669.52631547	1392.71371727	1089.77344029	0.190479117028	0.091453808771	0.0142478038304
ENSG00000183055	FAM133CP	2909.11375579	2288.59420851	1910.36856359	0.318345098867	0.158284344827	0.00864709410575
ENSG00000183054	RGPD6	14.1888632336	25.4441533099	22.9356304193	0.907576993956	0.461520242883	0.516434109867
ENSG00000168487	BMP1	228175.289353	38734.9131437	145151.256377	1.49380494131e-11	2.49519261186e-08	2.1480053993e-05
ENSG00000250565	ATP6V1E2	16786.2341305	24415.7690432	14068.5830635	2.5730459469e-06	9.37809177649e-11	0.140404726794
ENSG00000125409	TEKT3	3813.54035174	1414.24584029	2341.22999971	4.23409155674e-08	5.17502000993e-05	4.15056971316e-05
ENSG00000162843	WDR64	456.789868054	790.477780233	709.290284142	0.0260750292583	0.551160660678	0.0981793091325
ENSG00000162849	KIF26B	6491.45221666	24096.7726196	8232.24292781	7.23561097996e-06	0.00105728959835	0.0995899327492
ENSG00000149243	KLHL35	1864.86012243	1172.43248096	1187.5551245	0.0850694544047	0.293765098007	0.0281450454619
ENSG00000184708	EIF4ENIF1	119910.152218	135075.799371	130881.621266	0.232549566119	0.768887393095	0.380584532603
ENSG00000163462	TRIM46	10753.2534302	2136.20409111	5377.69097912	4.18538550721e-05	0.00826986897826	0.00822410491143
ENSG00000163463	KRTCAP2	164785.775131	49044.5845269	68370.7041695	4.38589057019e-12	0.00329667461702	2.03534230949e-14
ENSG00000163464	CXCR1	5247.60579542	3004.47032755	9221.31969113	0.158740770072	0.0204282989817	0.590772046599
ENSG00000163466	ARPC2	752071.250193	540269.10463	699723.668983	9.1928356148e-06	8.89555800967e-05	0.0841999082787
ENSG00000163468	CCT3	1245864.23821	1161275.40869	946350.228219	0.0347005271174	0.00124820931296	1.04161541238e-06
ENSG00000162599	NFIA	187796.949185	115490.10067	210037.337554	3.75433149501e-07	1.82472270316e-10	0.058058295149
ENSG00000162598	C1orf87	97.1853042419	581.429485171	68.197230756	0.00655940550472	0.00380096926718	0.855102624922
ENSG00000118640	VAMP8	3840506.43049	2549296.44405	1925734.09451	9.48716062559e-06	0.000453623633097	2.35109605175e-12
ENSG00000168488	ATXN2L	393890.647623	247316.710815	343954.181816	2.07434631461e-09	1.93026003832e-07	0.00787799286402
