Ensembl	GeneSymbol	SigI	Normal	SigII	pIvsN	pIIvsN	pIvsII
ENSG00000116032.5	GRIN3B	0.2394	0.1149	0.09335	0.00222966773892	0.963341556339	0.00013070868698
ENSG00000171174.15	RBKS	8.3677	8.2939	4.995	0.173831527964	1.04965652121e-06	1.60526913289e-08
ENSG00000166257.9	SCN3B	0.2941	0.39455	0.2838	0.508848306207	0.74425347754	0.773634678784
ENSG00000146083.12	RNF44	14.8885	9.0621	13.1818	2.83730091563e-19	2.22484416257e-15	6.96082796605e-05
ENSG00000149136.9	SSRP1	19.8126	17.92485	20.2816	0.00132357322774	0.00387367948356	0.39973935637
ENSG00000078237.7	C12orf5	0.8633	0.86715	1.0408	0.413201782085	0.00050114462951	0.000496141670797
ENSG00000179873.14	NLRP11	0.2133	0.1571	0.33325	0.00812055198974	4.05605722217e-07	0.485121537312
ENSG00000158486.13	DNAH3	0.0268	0.01665	0.01765	0.00075147499189	0.00292040792807	0.1152238125
ENSG00000174791.11	RIN1	2.6596	0.37955	1.05325	6.42780926938e-12	2.70481585661e-11	8.90998837172e-11
ENSG00000134108.14	ARL8B	19.3575	33.6443	22.294	2.56286923616e-15	2.20348824678e-07	0.00570129267158
ENSG00000155886.11	SLC24A2	0.0053	0.1495	0.00355	0.227010542864	0.339759647348	0.081486718777
ENSG00000175793.12	SFN	3.3775	1.91635	0.66165	0.0600816219914	0.00804652280776	0.00506883649834
ENSG00000172137.19	CALB2	0.2148	0.03015	0.1942	0.0112705972515	0.058968118141	0.348577430529
ENSG00000104889.7	RNASEH2A	0.0321	0.0089	0.0157	3.41887537578e-08	0.000407381367626	9.11926366571e-07
ENSG00000105556.11	MIER2	2.4733	1.38365	1.78515	4.14156563365e-23	1.72378069093e-06	2.81697803401e-17
ENSG00000085662.14	AKR1B1	58.3781	40.3611	46.73555	0.0798392697359	0.000172600851359	0.0184160830059
ENSG00000147231.14	CXorf57	1.8559	1.652	2.5005	0.111794919442	8.04090261188e-06	0.000218181295806
ENSG00000051825.15	MPHOSPH9	1.195	1.54005	2.12795	0.0208358208203	7.0070091027e-09	6.3028141876e-18
ENSG00000100523.16	DDHD1	1.01	0.68325	1.29965	1.37065517888e-09	2.88825265472e-12	1.32280557559e-05
ENSG00000184164.15	CRELD2	7.251	3.61415	4.08345	2.16194809619e-16	0.210321279033	4.71132313602e-22
ENSG00000188257.12	PLA2G2A	0.1316	0.0176	0.02575	0.180889254602	0.302673638289	0.0262752508274
ENSG00000124159.15	MATN4	0.0529	0.0646	0.0197	0.185657667312	1.22139757687e-11	0.0358183836875
ENSG00000158163.15	DZIP1L	2.0746	1.3287	1.7173	8.92259804621e-07	0.000577416147425	0.00903164756309
ENSG00000130332.15	LSM7	21.7205	8.09335	8.7039	7.24214463054e-25	0.954131784041	2.36909875442e-36
ENSG00000204103.4	MAFB	11.8991	8.9694	15.42075	9.78960362506e-06	6.90375789435e-10	0.518519867219
ENSG00000007516.14	BAIAP3	1.4914	3.56205	1.14405	1.31135520536e-10	3.88886866311e-33	0.000679384411779
ENSG00000170558.10	CDH2	9.8884	4.5968	14.5309	1.1927766114e-12	3.61771806535e-22	5.21235356305e-07
ENSG00000180423.4	HARBI1	1.215	1.41835	1.14135	0.0176483329443	2.56356567987e-06	0.0981895773391
ENSG00000167578.18	RAB4B	0.2122	0.0622	0.1567	1.44594577184e-13	4.57547989137e-08	0.0284171544837
ENSG00000188643.11	S100A16	102.9585	42.20215	49.3706	6.62803754998e-19	0.113671810466	7.88673605326e-23
ENSG00000148824.19	MTG1	0.7394	0.359	0.3456	4.00999168431e-09	0.0350797571936	1.53063638675e-10
ENSG00000146067.16	FAM193B	11.7826	2.02395	5.2734	1.34490790433e-16	4.77121241349e-16	6.5680478534e-12
ENSG00000102174.9	PHEX	0.2669	0.14275	0.2817	0.00124110969818	7.92489676738e-07	0.993972878334
ENSG00000139343.10	SNRPF	14.5281	6.6772	6.5657	6.24825582509e-22	0.901538308397	1.0640197831e-31
ENSG00000181826.10	RELL1	10.2745	5.0732	9.76225	2.23558696208e-18	1.3697922211e-17	0.132406637301
