TCGA-OR-A5J1-01	TCGA-OR-A5J2-01	TCGA-OR-A5J3-01	TCGA-OR-A5J5-01	TCGA-OR-A5J6-01	TCGA-OR-A5J7-01	TCGA-OR-A5J8-01	TCGA-OR-A5J9-01	TCGA-OR-A5JA-01	TCGA-OR-A5JB-01	TCGA-OR-A5JC-01	TCGA-OR-A5JD-01	TCGA-OR-A5JE-01	TCGA-OR-A5JF-01	TCGA-OR-A5JG-01	TCGA-OR-A5JI-01	TCGA-OR-A5JJ-01	TCGA-OR-A5JK-01	TCGA-OR-A5JL-01	TCGA-OR-A5JM-01	TCGA-OR-A5JO-01	TCGA-OR-A5JP-01	TCGA-OR-A5JQ-01	TCGA-OR-A5JR-01	TCGA-OR-A5JS-01	TCGA-OR-A5JT-01	TCGA-OR-A5JV-01	TCGA-OR-A5JW-01	TCGA-OR-A5JX-01	TCGA-OR-A5JY-01	TCGA-OR-A5JZ-01	TCGA-OR-A5K0-01	TCGA-OR-A5K1-01	TCGA-OR-A5K2-01	TCGA-OR-A5K3-01	TCGA-OR-A5K4-01	TCGA-OR-A5K5-01	TCGA-OR-A5K6-01	TCGA-OR-A5K8-01	TCGA-OR-A5K9-01	TCGA-OR-A5KO-01	TCGA-OR-A5KT-01	TCGA-OR-A5KU-01	TCGA-OR-A5KV-01	TCGA-OR-A5KW-01	TCGA-OR-A5KX-01	TCGA-OR-A5KY-01	TCGA-OR-A5KZ-01	TCGA-OR-A5L3-01	TCGA-OR-A5L4-01	TCGA-OR-A5L5-01	TCGA-OR-A5L6-01	TCGA-OR-A5L8-01	TCGA-OR-A5L9-01	TCGA-OR-A5LA-01	TCGA-OR-A5LB-01	TCGA-OR-A5LC-01	TCGA-OR-A5LD-01	TCGA-OR-A5LE-01	TCGA-OR-A5LG-01	TCGA-OR-A5LH-01	TCGA-OR-A5LJ-01	TCGA-OR-A5LK-01	TCGA-OR-A5LL-01	TCGA-OR-A5LM-01	TCGA-OR-A5LN-01	TCGA-OR-A5LO-01	TCGA-OR-A5LP-01	TCGA-OR-A5LR-01	TCGA-OR-A5LS-01	TCGA-OR-A5LT-01	TCGA-OU-A5PI-01	TCGA-P6-A5OF-01	TCGA-PA-A5YG-01	TCGA-PK-A5H8-01	TCGA-PK-A5H9-01	TCGA-PK-A5HA-01	TCGA-PK-A5HB-01
NR0B1	946.206	278.218	4469.26	854.376	2910.53	1615.32	2.4865	2097.34	1880.02	0.4456	515.267	3881.67	1404.98	2704.12	1374.18	3552.27	1120.48	1157.13	1986.85	486.207	534.516	1094.42	2110.48	3545.54	2721.05	5156.93	1721.18	2075.03	228.312	1322.88	1219.82	2322.41	2549.71	1318.94	2561.45	2441.65	181.442	2224.63	2856.31	1392.26	2345.83	4230.25	967.296	836.483	1113.54	2014.34	890.757999999999	1406.06	2112.72	1981.2	5231.57	1914.02	523.543	4403.23	11039.9	684.462	1725.92	265.943	838.91	4764.87	5970.72	1033.98	5213.56	3737.4	984.542	6564.16	330.61	2863.17	2060.25	1114.69	2051.87	900.798	1273.37	2659.27	1381.64	322.778	5814.77	3.6087
BNIP3L	2885.21	1123.34	6994.52	2536.79	4338.96	1247.89	4378.78	5204.76	4255.29	2213.21	4637.4	2459.34	1959.28	1914.86	2256.62	3451.43	3577.42	1529.37	2038.99	3644.4	4600.62	3299.52	3486.81	2739.44	2777.28	2263.18	3410.7	2614.3	8571.43	2520.82	6981.02	3209.83	2058.65	2777.8	3411.38	1783.89	5569.59	2830.89	1412.19	7278.36	5716.96	1920.04	8097.18	5615.89	6613.74	1893.88	3525.4	5660	1658.48	3343.15	2787.55	3586.92	3160.81	2021.51	3582.96	1919.57	1984.4	1450.47	3716.05	1658.51	1883.88	1746.79	1455.93	1057.57	6238.03	2364.16	3776.55	1809.31	3919.67	1725.9	2549.32	2533.07	5744.62	1520.11	4098.69	2462.18	1732.08	2041.7
CDK11B	1285.27	330.644	839.2	876.15	1153.01	616.719	967.688	833.346	859.139	2084.41	854.777	460.898	587.986	784.056	976.004	604.487	663.365	1001.34	638.093	551.828	769.601	769.934	653.091	670.376	543.259	595.438	389.585	441.54	851.552	643.426	454.811	844.915	775.919	779.952	937.464000000001	479.926	650.533	508.46	817.01	635.202	620.398	1039.21	561.488	1019.68	645.827	548.475	315.923	809.376	1169.64	800.518	721.409	815.178	537.183	873.172	819.894	723.525	674.566	1178.25	941.135	837.233999999999	774.378	618.701	935.61	192.762	832.76	642.821	500.264	566.353	568.201	438.53	636.556	399.954	523.211	551.049	749.032	645.06	687.293	765.601
CDC34	1814.12	1368.14	2391.35	3822.62	1660.92	2449.26	2371.32	4602.31	1891.65	832.795	3683.21	1588.59	4042.99	2487.11	2007.79	2922.29	2864.35	2311.98	1209.77	2400.43	1051.21	4467.72	2560.37	1327.7	1189.42	1210.47	601.765	1425.63	3742.5	1425.44	746.935	1345.67	1170.93	3681.28	3342.82	821.913	3542.49	1285.71	2650.22	3475.81	2109.65	1253.37	3115.68	3867.34	2706.09	2833.65	2527.95	2310.3	1992.19	1747.12	1303.66	1321.5	2166.4	2037.63	1989.35	2657.65	2638.4	1744.91	1897.39	2090.77	1277.22	1044.05	1981.36	787.199	2755.52	2554.91	3695.34	1752.9	938.075	2051.84	2174.32	1209.24	2443.1	2337.03	2204.25	705.923	1423.37	2005.61
ERCC8	87.4159	155.013	177.751	163.439	228.572	230.646	162.868	146.191	145.349	199.176	172.392	186.286	174.208	83.4057	357.383	158.187	192.325	135.774	236.317	157.759	119.321	140.536	109.485	317.371	144.654	228.355	266.874	283.458	147.884	235.558	110.159	76.6385	236.008	112.287	184.994	192.172	165.825	142.352	288.824	131.486	231.49	58.7669	125.584	146.934	178.21	163.958	172.219	212.727	83.7054	293.669	192.791	181.308	221.868	112.903	147.294	164.588	117.368	116.689	182.666	110.113	176.903	177.196	172.881	232.092	185.502	86.7052	117.251	238.451	205.858	317.805	307.823	218.358	161.909	208.044	256.715	135.043	126.792	234.563
CRY2	1662.34	804.053	716.931	742.835	2170.04	513.438	776.212	1237.53	942.917999999999	455.386	970.738	504.854	1482.47	778.453	1022.17	523.589	923.248999999999	842.105	1157.62	830.603	892.48	919.631000000001	609.535	900.939	1419.16	980.22	497.923	2179.9	1300.47	842.365	1000.84	2775.9	650.056	1270.57	975.42	1834.88	1109.32	776.376	1078.37	699.648	737.582	921.002	581.573	1703.43	2478.74	2850.86	981.959000000001	476.97	845.982	816.457	716.548	351.402	2064.64	467.742	721.384	1426.27	590.909	804.613	2101.58	1355.48	997.974999999999	713.315	471.186	1898.61	581.72	563.006	1068.24	832.593000000001	1159.83	829.409	693.027	1381.98	2044.19	887.194	1126.17	1622.61	604.19	812.35
MAPK14	778.578	2823.65	1061.77	806.352	1526.8	1679.5	1244.92	1457.5	1728.33	1648.66	1891.22	825.85	1996.61	1404	1143.09	1013.88	1318.61	842.868	1244.07	2821.55	1294.72	757.576	817.756	1024.88	1368.85	925.264	1334.89	2208.42	833.468000000001	4512.76	1168.77	3070.3	661.65	1239.47	710.22	942.931	4271.02	3350.83	674.891	2447.23	1654.64	812.139	1557.09	637.871	1078.98	1130.02	1254.23	1460.61	1017.86	1139.92	971.054	958.878999999999	2019.15	741.936	688.554	1544.24	654.681	1206.24	956.382	896.826	983.619	1261.52	1327.12	1111.41	1791.39	1032.37	1653.05	896.503	1077.82	1583.6	591.837	1863.74	1407.12	1047.62	1302.94	1446.74	1732.64	2444.27
GADD45A	1357.35	305.999	406.458	144.849	283.34	239.872	936.179	437.215	780.127	1826.89	329.517	376.82	702.489	1188.92	434.771	273.82	435.074	436.308	349.542	1071.55	984.805	750.11	264.358	382.16	954.495	604.524	250.779	413.778	99.8865	3249.44	598.489	1032.77	594.574	1111.64	588.616	146.79	943.96	305.906	438.316	285.4	273.664	771.676	411.886	517.933	581.072	290.153	471.057	1306.06	588.17	859.018	563.08	188.785	290.104	322.581	634.428	371.139	869.064	218.453	1109.53	213.855	687.237	293.984	262.712	270.375	393.817	172.254	577.607	819.811	367.364	426.224	593.537	809.578	738.365	844.198	309.182	315.101	1358.32	531.275
DHX15	1058.6	1379.41	1638.87	1911.7	1310.52	2134.38	1522.59	2753.5	1943.45	1549.74	1873.41	1904.73	1509.62	2065.06	1835.28	1081.41	3290.5	1719.3	2009.4	2405.17	1549.02	2414.58	1884.34	2737.56	1394.38	2509.06	2944.44	2416.41	1227.18	1320.2	1732.33	1335.62	1350.63	1031.31	2091.85	2605.25	1332.57	1375.57	1438.32	2468.78	3496.72	1330.44	1983.18	1868.88	2407.99	831.262	1653.57	2584.85	681.92	1299.52	1423.81	1454.21	1808.06	553.763	1015.97	1792.28	1892.81	1378.56	2480.44	1276.76	1867.21	1389.38	1589.83	1436.22	1679.72	1704.05	1342.14	1429.82	1569.87	2191.43	2371.6	2116.88	2050.06	1241.79	1423.49	2076.25	1920.07	2589.41
DOCK1	804.995	2532.55	790.994	1172.73	358.227	1279.58	1767.51	1474.15	613.108	1419.63	1009.54	671.116	346.719	717.444	609.969	919.518999999999	463.186	480.549	523.373	1053.88	1140.3	1183.57	658.903	869.953	543.1	599.787	331.257	1362.44	1029.35	116.435	888.665	254.228	203.712	636.58	337.646	640.947	225.08	831.398	682.148	525.946	1297.09	422.929	405.158	573.081	563.251	589.388	923.52	1436.97	299.107	238.34	642.272	523.365	2264.17	327.957	409.938	1410.89	734.057	932.157	67.654	693.891	315.369	1311.35	566.102	1125.17	552.304	680.925	1160.02	968.788	710.46	1255.63	837.585	1181.87	1025.03	657.883	511.555	1620.17	469.129	2385.73
