TCGA-02-0047-01	TCGA-02-0055-01	TCGA-02-2483-01	TCGA-02-2485-01	TCGA-02-2486-01	TCGA-06-0125-01	TCGA-06-0125-02	TCGA-06-0129-01	TCGA-06-0130-01	TCGA-06-0132-01	TCGA-06-0138-01	TCGA-06-0141-01	TCGA-06-0157-01	TCGA-06-0158-01	TCGA-06-0168-01	TCGA-06-0171-02	TCGA-06-0174-01	TCGA-06-0178-01	TCGA-06-0184-01	TCGA-06-0187-01	TCGA-06-0190-01	TCGA-06-0190-02	TCGA-06-0210-01	TCGA-06-0210-02	TCGA-06-0211-01	TCGA-06-0211-02	TCGA-06-0219-01	TCGA-06-0221-02	TCGA-06-0238-01	TCGA-06-0644-01	TCGA-06-0645-01	TCGA-06-0646-01	TCGA-06-0649-01	TCGA-06-0686-01	TCGA-06-0743-01	TCGA-06-0744-01	TCGA-06-0745-01	TCGA-06-0747-01	TCGA-06-0749-01	TCGA-06-0750-01	TCGA-06-0878-01	TCGA-06-0882-01	TCGA-06-1804-01	TCGA-06-2557-01	TCGA-06-2558-01	TCGA-06-2559-01	TCGA-06-2561-01	TCGA-06-2562-01	TCGA-06-2563-01	TCGA-06-2564-01	TCGA-06-2565-01	TCGA-06-2567-01	TCGA-06-2569-01	TCGA-06-2570-01	TCGA-06-5408-01	TCGA-06-5410-01	TCGA-06-5411-01	TCGA-06-5412-01	TCGA-06-5413-01	TCGA-06-5414-01	TCGA-06-5415-01	TCGA-06-5416-01	TCGA-06-5417-01	TCGA-06-5418-01	TCGA-06-5856-01	TCGA-06-5858-01	TCGA-06-5859-01	TCGA-08-0386-01	TCGA-12-0616-01	TCGA-12-0618-01	TCGA-12-0619-01	TCGA-12-0821-01	TCGA-12-1597-01	TCGA-12-3650-01	TCGA-12-3652-01	TCGA-12-3653-01	TCGA-12-5295-01	TCGA-12-5299-01	TCGA-14-0781-01	TCGA-14-0787-01	TCGA-14-0789-01	TCGA-14-0790-01	TCGA-14-0817-01	TCGA-14-0871-01	TCGA-14-1034-01	TCGA-14-1034-02	TCGA-14-1823-01	TCGA-14-1825-01	TCGA-14-1829-01	TCGA-14-2554-01	TCGA-15-0742-01	TCGA-15-1444-01	TCGA-16-0846-01	TCGA-16-1045-01	TCGA-19-1390-01	TCGA-19-1787-01	TCGA-19-2619-01	TCGA-19-2620-01	TCGA-19-2624-01	TCGA-19-2625-01	TCGA-19-2629-01	TCGA-19-4065-01	TCGA-19-5960-01	TCGA-26-1442-01	TCGA-26-5132-01	TCGA-26-5133-01	TCGA-26-5134-01	TCGA-26-5135-01	TCGA-26-5136-01	TCGA-26-5139-01	TCGA-27-1830-01	TCGA-27-1831-01	TCGA-27-1832-01	TCGA-27-1834-01	TCGA-27-1835-01	TCGA-27-1837-01	TCGA-27-2519-01	TCGA-27-2521-01	TCGA-27-2523-01	TCGA-27-2524-01	TCGA-27-2526-01	TCGA-27-2528-01	TCGA-28-1747-01	TCGA-28-1753-01	TCGA-28-2499-01	TCGA-28-2509-01	TCGA-28-2510-01	TCGA-28-2513-01	TCGA-28-2514-01	TCGA-28-5204-01	TCGA-28-5207-01	TCGA-28-5208-01	TCGA-28-5209-01	TCGA-28-5213-01	TCGA-28-5215-01	TCGA-28-5216-01	TCGA-28-5218-01	TCGA-28-5220-01	TCGA-32-1970-01	TCGA-32-1980-01	TCGA-32-1982-01	TCGA-32-2615-01	TCGA-32-2616-01	TCGA-32-2632-01	TCGA-32-2634-01	TCGA-32-2638-01	TCGA-32-4213-01	TCGA-32-5222-01	TCGA-41-2571-01	TCGA-41-2572-01	TCGA-41-3915-01	TCGA-41-4097-01	TCGA-41-5651-01	TCGA-76-4925-01	TCGA-76-4926-01	TCGA-76-4927-01	TCGA-76-4928-01	TCGA-76-4929-01	TCGA-76-4931-01	TCGA-76-4932-01
BNIP3L	4494.3	6698.25	4517.99	2820.95	4041.46	2681.2	7630.69	2522.56	2993.3	5001.21	5177.61	3931.72	2867.92	3287.9	3366.97	4987.86	5742.31	4256.01	3820.99	4006.83	4302.69	6675.78	8653.91999999999	3860.13	3448.23	4528.28	6380.69	3026.07	4018.45	3229.79	4046	3666.63	4702.83	4361.82	2181.24	2259.75	4629.61	2192.17	3138.79	3377.98	5213.76	3477.65	4524.24	3175.99	5234.34	6147.43	2833.24	4553.52	2690.27	4027.08	3474.49	3887.79	3715.4	2069.22	4072.89	5083.1	3969.61	4585.06	4442.62	3746.96	3092.75	4231.57	9022.9	6534.13	4174.2	5201.46	3392.53	4893.2	3305.15	5423.41	3072.96	5742.4	7869.51	3896.4	8589.97	2642.49	3203.48	6394.78	6140.31	3275.04	5357.55	1587.71	2753.79	2392.97	3910.06	5835.99	5276.07	5446.49	9451.03	6434.91	2917.37	4107.71	2049.28	5271.03	4208.41	2101.21	4565.2	4745.42	2772.56	4356.48	3390.22	5588.79	2909.67	3223.39	6376.86	3259.09	3243.85	2363.29	3550.53	2575.03	5542.19	6818.24	4650.33	4249.86	1634.29	2461.81	4393.97	3093.29	3466.27	3249.59	4090.45	3703.95	2809.82	3155.41	4598.73	5112.73	3311.46	3115.02	3926.78	1889.01	3342.24	2961.21	4756.01	7570.84	3877.98	6133.93	5016.27	4338.48	2252.69	3800.84	4844.95	5336.93	3432.02	2201.16	4116.27	4039.7	4723.08	5250.88	5691.42	3456.07	4340.58	4992.33	3518.51	5303.47	5364.41	3089.16	3418.93	4666.67	3423.53	4656.72
CDK11B	545.044	600.852	557.024	1425.17	980.201	1114.29	1070.6	900.596999999999	709.005	555.959	508.839	647.716	899.886	898.712	1003.28	690.126	809.581	417.782	548.391	1310.64	790.031999999999	824.497	737.12	844.273999999999	766.853	617.754	290.184	934.642	677.347	660.125	801.427	583.374	879.223	880.533	1229.73	1012.7	398.006	518.521	1111.86	796.426	730.425	628.98	1309.38	1336.55	852.051	868.237	985.138	825.047	678.683	670.981	836.73	1059.11	915.521000000001	1061.3	1039.29	713.976	639.203	588.564	674.327	822.605	881.978000000001	742.301	945.286	812.022	886.55	1021.23	491.944	1178.84	760.388	1714.99	1492.86	743.73	824.746000000001	638.716	472.635	873.125	854.965	588.165	741.071	524.92	771.99	938.709999999999	680.216	1278.4	1327.68	984.688	425.289	779.398	220.551	668.428	1227.98	764.317	954.499	837.165	914.208	1240.39	894.493000000001	842.198	1355.57	1682.41	1159.12	656.026	1091.03	951.437	1250.22	869.601	808.238	1198.15	1382.1	1022.22	872.448	236.773	1000.37	1102.78	1093.21	916.111	1004.12	682.776	697.947	584.327	678.135	683.746	1014.65	844.372999999999	740.604	402.605	789.488	648.056	785.696	781.056	800.016	759.933	966.331	572.847	755.918	858.172	707.015	833.905	1284.79	837.061	575.327	1050.29	951.474	811.639	1038.45	785.322	596.559	658.663	1133.26	914.265	683.972	767.49	1048.45	1366.92	957.994	981.687	551.849	1099.99	1184.29	1109.01
CDC34	797.197	859.986	1759.58	2370	1181.71	1434.51	901.951	1399.73	611.14	1000.6	1126.47	885.524	2071.3	1712.21	1197.25	643.299	1853.25	1912.74	1401.18	1223.26	1457.75	1109.77	982.091	1071.39	1663.49	1794.02	1300.28	1049.62	1810.84	1057.25	1410.87	1004.46	941.862	1839.07	2276.63	3538.69	1816.29	2427.23	1647.9	1417	892.454999999999	1370.88	1400.44	1267.99	1675.76	1043.02	781.409	849.978	1850.62	845.743	1427.3	1171.4	1515.52	1834.12	1463.94	836.103	1074.13	857.976	1407.81	1451.55	1635.84	1920.33	1114.5	1414.42	1508.53	847.767	1148.97	1896.52	1776.04	1541.63	1080.71	1915.55	2732.25	2834.76	3515.42	1812.18	2265.94	1527.37	910.263	1550.8	1113.71	2305.12	2688.02	469.649	1413.01	1365.87	1202.55	1036.79	1183.29	1892.48	2259.47	1141.51	1942.69	763.863	1318.82	611.111	1166.94	1733.52	1361.53	1896.04	2470.34	723.601	2221.46	1122.71	1859.37	2220.72	1274.59	1812.66	864.253	1553.86	1167.19	1102.54	905.95	994.46	1390.49	1206.82	1362.76	3196.39	2556.54	2866.3	1965.73	1831.03	1230.24	1188.64	1633.69	1337.68	971.215	1292.56	1313.99	1237.44	1083.3	1670.5	1556.99	1054.5	826.01	1165.28	762.365	1487.71	2022.04	992.124	1191.38	1207.78	1220.41	1189.28	1284.32	1507.47	1013.99	1960.28	1941.89	2400.45	1492.75	917.114	2596.37	1958.42	943.032	1742.17	1042.51	987.158	1275.76	1408.46
ERCC8	240.327	196.216	269.762	240.476	250.61	246.486	228.349	306.976	243.424	179.131	297.858	320.329	297.281	254.542	174.312	139.748	354.513	429.752	331.045	169.785	263.542	239.47	293.805	237.98	290.645	310.566	450.824	252.13	412.918	228.444	265.551	247.352	380.891	299.667	332.273	339.178	431.056	187.408	207.054	187.15	331.756	240.76	172.291	256.256	450	343.652	214.648	328.706	323.776	306.052	300.595	215.067	109.971	312.325	219.547	194.324	288.214	294.118	365.005	326.01	249.715	346.984	501.908	290.329	258.962	229.717	245.571	282.353	407.31	304.399	245.326	313.188	322.515	424.658	570.694	221.175	477.141	207.442	210.709	269.231	186.355	320.819	354.359	166.134	303.606	257.636	343.586	382.943	609.156	243.973	276.316	247.409	255.587	186.293	316.678	198.105	212.625	215.202	275.606	217.158	176.483	231.857	238.881	253.802	257.05	209.681	243.852	205.696	265.46	245.376	288.542	519.909	149.035	221.053	315.472	314.924	294.403	290.781	409.44	430.005	380.899	368.396	287.773	239.014	290.779	240.982	187.104	280.471	263.997	364.363	192.791	418.103	272.484	302.452	182.696	336.822	121.798	279.588	255.142	185.692	297.423	217.711	235.841	267.477	392.894	226.022	360.839	396.179	220.803	313.633	285.902	141.98	282.798	283.326	322.505	346.988	254.163	204.913	274.824	249.254
CRIP1	120.471	259.005	143.113	300.952	507.317	162.966	85.8257	19.3663	899.948	113.39	609.537	148.357	145.499	153.253	266.055	167.698	211.8	210.648	160.863	113.358	304.893	432.93	97.2894	263.235	277.929	296.692	465.829	36.0902	229.527	589.684	280.188	169.082	233.846	223.085	136.725	159.868	297.836	55.3602	131.399	548.356	90.0934	215.886	1061.85	115.876	356.566	89.7167	82.8169	232.423	190.207	73.6124	95.6633	1577.3	179.351	195.75	43.7327	250.575	195.672	158.982	311.853	77.6775	131.279	300.819	32.4427	115.635	135.257	439.836	37.883	204.683	127.284	45.5617	157.319	342.992	352.941	242.294	151.671	76.1421	53.4449	137.297	397.62	109.579	124.447	39.5904	374.77	118.211	65.1879	59.0969	318.83	262.542	668.247	209.74	152.105	45.516	67.6218	87.2274	47.6239	154.177	103.821	52.1978	78.3909	64.0207	47.0343	196.223	5.0436	39.3288	244.463	45.6484	116.803	556.962	361.991	129.205	152.604	1149.58	2077	161.773	185.532	158.637	136.168	178.434	154.572	434.197	169.663	626.368	51.3008	322.615	110.988	468.938	153.713	286.439	89.381	152.316	118.266	185.824	94.39	171.662	92.6407	96.235	245.529	123.499	58.7659	153.328	763.836	169.331	175.501	282.951	462.81	262.972	523.077	134.741	284.983	131.189	457.18	152.725	161.512	123.875	42.8437	529.317	228.747	259.073	83.7647	232.338
CRY2	497.864	617.8	574.565	908.571	781.098	472.194	942.523	864.065000000001	673.027	1144.15	743.607	583.162	944.532	1059.56	860.092	668.958	649.521	368.249	479.647	1066.57	470.848	620.293	614.714	650.316	445.05	413.554	542.815	1583.96	583.045	368.668	511.239	944.251999999999	701.538	740.289	800.212	747.489	432.753	996.029	1330.49	537.444	687.89	1006.22	1365.43	763.368	675.253	571.878	818.028	491.267	658.879	557.294	855.442000000001	1001.81	1892.63	524.59	891.441	510.355	1088.86	412.825	428.034	360.926	610.445	338.794	400.763	686.863	498.189	332.726	1066.96	1292.06	369.973	1343.28	575.923	628.267	861.393	417.808	389.46	665.7	485.512	611.634	351.016	486.938	560.328	861.433	357.76	322.684	553.493	785.525	287.322	603.679	207.915	416.586	378.947	865.705	1136.96	542.679	797.802	601.206	918.189	1019.23	741.826	702.178	744.225	509.799	561.669	2297.33	801.162	450.464	399.59	796.202	665.158	553.088	364.583	134.516	485.04	996.122000000001	1154.05	626.322	613.563	561.736	309.144	374.906	914.607	828.177	1056.8	642.015	998.393	407.315	1949.91	506.639	1030.65	777.009	1358.17	336.686	516.474	435.967	515.341	399.584	391.171	1322.47	885.407	1527.98	660.752	905.4	389.635	1004.14	682.816	653.695	234.965	314.228	826.098	590.655	439.394	980.813	896.541	992.285	1025.89	455.422	482.471	1399.22	897.882	667.164
MAPK14	1079.32	1854.52	1209.92	1070	1099.39	1245.87	1230.17	8085.21	1414.65	1182.75	917.761	1063.14	1109.37	901.024	938.073	1817.64	1070.6	1891.22	985.777	1325.53	1685.46	1837.04	1276.38	1066.05	1395.1	1172.89	1801.99	1015.54	1006.92	1148.72	1155.78	1176.05	1081.13	806.881	904.081	1077.49	1052.18	1074.08	768.487	1085.8	1416.06	1270.91	1159.97	1130.93	1068.18	1253.93	820.845	1417.38	1142.65	1335.83	1215.56	1211.77	1332.39	1003.52	1837.66	1421.12	1181.4	1391.63	1506.11	1273.83	1182.08	991.809	1416.03	1400.03	1151.85	1026.44	1497.49	1386.18	1014.03	888.845	1701.78	1198.34	988.506	1110.45	1264.78	1513.42	1265.29	1394.35	1112.54	1050.07	1497.16	867.577	1263.78	910.543	1216.84	1693.23	1469.62	752.508	1742.84	1254.1	1072.63	1097.79	840.688	1656.07	1061.16	981.481	1157.81	845.238	834.245	872.73	1134.24	1241	774.874	949.134999999999	856.832000000001	1275.65	776.639	760.76	778.28	1038.17	1344.27	1261.81	595.687	1055.4	931.011	851.939	832.616	1101	1154.77	1186.41	699.438	1234.65	876.511	1043.94	1319.81	1230.46	991.363999999999	1211.4	1008.99	1454.47	1245.31	1203.07	1433.66	1719.35	948.813	1221.07	1478.33	696.97	1332.52	1001.14	1142.37	1153.35	940.789	1113.01	1058.23	1223.27	1257.34	1485.17	881.446	1063.55	1170.62	976.976	873.381	702.529	1179.85	928.514	1301.05	1302.07	1148.71	1282.59
GADD45A	1402.62	3312.68	1141.53	2477.62	4646.34	2493.79	5578.15	421.113	2011.35	781.062	1209.4	1464.58	665.619	2154.35	2341.74	1260.94	1511.35	656.544	3911.72	3083.84	4638.46	1977.29	2409	723.652	2045.87	1970.12	1201.76	180.952	608.996	2606.68	2921.59	1166.52	464.453	951.165	604.663	2195.48	1992.36	4260.01	811.149	1944.62	2006.43	1985.69	266.728	820.683	509.596	1783.84	2251.83	2358.71	1143.6	1401.04	1750	1098.29	356.342	988.949999999999	2611.6	1962.16	1238.03	3263.38	880.997	3749.71	2032.82	2538.35	742.366	4107.78	1329.47	2354.6	1063.84	1155.45	1882.11	1542.81	1496.12	610.29	1187.96	1822.77	4519.92	1502.54	2491.95	2343.46	3590.48	2245.28	1927.98	630.717	1629.48	293.93	4050.7	2526.56	4154.54	789.298	2292.18	2971.55	3002.63	1109.96	1036.68	1357.63	612.191	3975.88	5057.31	3592.49	1616.5	6380.04	2840.37	2022.09	880.33	1261.14	3552.7	2016.05	2106.56	1610.76	497.738	3280.56	1985.94	2052.4	1984.87	780.609	1138.65	1211.52	914.962	898.777	2259.98	2453.66	1250.56	2658.26	1617.69	1730.98	2109.28	3627.25	1011.51	5206.62	3424.58	2321.07	808.424	2981.32	2656.72	1316.08	787.23	2843.12	814.564	328.188	1522.53	1297.19	3785.38	3028.08	2229.27	1363.36	986.415999999999	5438.29	2686.71	3892.91	1016.87	1733.52	1793.15	908.672	585.098	2237.03	1306.5	2089.16	1805.43	557.789	2399.06	5425.37
DHX15	1770.8	3037.42	3221.11	2076.19	1772.56	3027.91	1863.72	3291.44	2157.81	1554.28	1857.64	2075.98	2384.05	2295.72	1447.25	1712.26	2610.69	3166.63	2130.95	2284.79	2592.42	1910.77	2272.51	2216.12	2470.94	2236.39	2988.75	2519.3	2789.5	2501.74	1859.91	2242.22	1891.5	2072.14	1912.03	2164.15	2242.68	2684.51	1497.16	1810.39	2330.77	2111.46	1986.87	2349.08	2774.24	3281.22	2115.49	2137.48	2816.76	2288.39	2987.67	1978.96	3486.49	2507.35	3083.82	1881.87	2055.71	2114.47	3366.42	2171.83	2369.86	2759.49	2898.86	2337.02	3436.78	2104.38	2673.2	2146.89	3579.23	1621.76	2207.93	2739.68	1847.87	2711.47	2646.53	2389.41	2288.47	2205.73	1702.53	2224.96	2063.17	2427.3	2562.72	3421.73	2011.77	3442.23	1858.96	2127.09	2544.59	1883.8	2351.58	2321.32	1798.85	2257.32	2957.57	1958.23	1773.26	1608.06	2409.08	2051.73	2160.25	2630.24	4021.55	1647.09	2190.49	2504.64	2758.2	1612.03	2128.21	2063.88	2042.19	2698.58	1723.83	1860.39	1805.76	1240.89	1698.6	2610.42	2470.01	2164.4	1220.22	2187.53	1809.7	2472.67	2164.52	2161.32	1571.68	1701.92	2347.4	2543.08	2046.17	3209.77	2884.24	2213.9	2575.84	2382.16	2869.02	2453.97	2246.33	1382.08	2166.46	2042.76	1870.91	1652.94	3328.2	2059.36	1833.57	3109.1	1600.97	2111.23	2146.9	2107.44	2959.62	1973.85	2106.87	1844.98	1547.33	2372.98	2697.88	2243.78
DOCK1	1941.67	996.216	2757.99	805.714	724.39	1089.84	1266.58	1159.09	986.075	1106.76	572.909	857.289	1164.95	1399.98	1084.86	1669.19	840.141	352.873	955.861	1246.43	996.83	1709.55	1147.63	1394.37	1085.83	859.659	585.223	905.263	542.676	886.847	867.224000000001	689.374	557.085	932.297	896.661	1062.9	859.567	941.577	798.066	769.336	987.848	1292.5	973.857	1228.95	1074.24	963.798	1140.28	1214.96	1014.75	1466.25	1393.71	573.797	2567.55	1761.75	980.232	1240.09	1018.88	1077.9	847.601	1377.8	1013.7	1040.21	1545.8	869.001	1242.83	1735.64	882.897	891.376	481.983	625.687	973.096	557.777	583.502	583.048	456.941	936.186	853.187	996.578	1080.32	967.344000000001	1282.38	899.659	547.13	1300.32	1331.52	1505.98	609.903	770.903	342.149	790.26	1033.16	1285.71	825.788	1148.29	1457.21	1606.37	1553.16	1760.07	776.483000000001	935.214	736.733	1012.47	1591.47	1403.25	900.399	1068.97	961.066	1181.65	820.513	1010.41	1286.98	329.276	585.3	750.139	1198.26	904.818	752.422	1241.11	1930.38	506.663	759.551	1235.13	948.821	1105.04	901.466	1425.85	1613.13	1000.15	1330.58	1612.75	1119.48	996.169	1168.74	401.907	1139.7	993.731	3186.08	547.17	1020.57	1411.79	784.115	1088.55	1050.43	1015.75	1159.3	1211.48	716.084	1091.5	674.775	758.455	1448.62	339.217	800.244	1459.92	913.371000000001	1372.69	994.741	776.661	1067.29	1079.6
