TCGA-KL-8323-01	TCGA-KL-8324-01	TCGA-KL-8325-01	TCGA-KL-8326-01	TCGA-KL-8327-01	TCGA-KL-8328-01	TCGA-KL-8329-01	TCGA-KL-8330-01	TCGA-KL-8331-01	TCGA-KL-8332-01	TCGA-KL-8333-01	TCGA-KL-8334-01	TCGA-KL-8335-01	TCGA-KL-8336-01	TCGA-KL-8337-01	TCGA-KL-8338-01	TCGA-KL-8339-01	TCGA-KL-8340-01	TCGA-KL-8341-01	TCGA-KL-8342-01	TCGA-KL-8343-01	TCGA-KL-8344-01	TCGA-KL-8345-01	TCGA-KL-8346-01	TCGA-KM-8438-01	TCGA-KM-8439-01	TCGA-KM-8440-01	TCGA-KM-8441-01	TCGA-KM-8442-01	TCGA-KM-8443-01	TCGA-KM-8476-01	TCGA-KM-8477-01	TCGA-KM-8639-01	TCGA-KN-8418-01	TCGA-KN-8419-01	TCGA-KN-8421-01	TCGA-KN-8422-01	TCGA-KN-8423-01	TCGA-KN-8424-01	TCGA-KN-8425-01	TCGA-KN-8426-01	TCGA-KN-8427-01	TCGA-KN-8428-01	TCGA-KN-8429-01	TCGA-KN-8431-01	TCGA-KN-8432-01	TCGA-KN-8433-01	TCGA-KN-8434-01	TCGA-KN-8435-01	TCGA-KN-8436-01	TCGA-KN-8437-01	TCGA-KO-8403-01	TCGA-KO-8404-01	TCGA-KO-8405-01	TCGA-KO-8406-01	TCGA-KO-8407-01	TCGA-KO-8408-01	TCGA-KO-8409-01	TCGA-KO-8410-01	TCGA-KO-8411-01	TCGA-KO-8413-01	TCGA-KO-8414-01	TCGA-KO-8415-01	TCGA-KO-8416-01	TCGA-KO-8417-01
BNIP3L	1751.89	407.425	480.01	663.453	380.189	1038.97	831.913	731.787	519.351	710.796	1677.6	744.764	856.426	1181.17	372.209	690.319	559.267	569.568	1867.13	559.048	578.043	1086.71	459.302	916.184999999999	675.325	786.19	507.508	883.297	1120.03	376.349	473.438	956.023	1132.98	648.217	997.674	1325.83	387.709	575.442	606.706	564.255	412.195	4864.9	2074.62	784.104	458.182	279.188	318.688	715.591	958.709	483.426	997.938	1138.32	4273.03	1168.03	750.343	604.722	1457.27	340.72	921.912	507.925	691.562	349.98	1306.29	619.755	315.864
CDK11B	438.444	629.032	273.142	554.409	1574.66	529.184	466.361	568.174	592.002	498.897	444.561	491.519	474.943	572.66	690.799	632.561	439.167	464.261	409.673	529.223	353.879	546.072	417.054	659.09	619.188	878.348000000001	471.857	546.878	483.092	567	764.305	628.352	736.984	525.912	457.358	488.553	577.777	458.842	432.419	542.159	546.471	650.958	841.763999999999	419.612	472	444.709	526.302	460.829	499.247	562.543	539.68	587.708	1587.14	690.24	400.963	715.409	707.099	927.659	344.278	438.925	710.98	747.264	607.029	806.013	572.666
CDC34	842.441	2177.63	638.901	1354.59	1939.62	2019.94	981.213	1320.48	1732.81	1227.21	505.66	1279.56	1128.52	1114.32	1596.97	1589.76	1367.1	1155.94	1035.18	1210.15	707.822	788.114	945.349	2011.22	1872.67	1538.29	930.241	793.165	950.775	1319.92	2812.94	899.336	906.2	902.207	663.721	1310.46	1187.98	858.727	1052.33	1246.03	1469.51	2165.36	1581.57	1048.43	1341.82	866.892	2845.9	1421.8	1023.94	1706.67	823.711	1278.71	3085.53	1231.4	1032.68	1659.82	1593.48	2340.72	565.915	990.566	703.601	2255.79	2574.96	1861.9	1130.67
ERCC8	249.302	75.6579	194.274	180.942	151.887	152.243	204.585	100.947	121.018	113.475	239.28	174.486	216.715	294.91	182.88	212.406	236.71	223.459	244.429	130.669	256.401	221.074	187.597	60.6204	151.366	196.657	253.184	318.092	98.1119	110.788	146.046	214.149	183.452	291.681	88.8372	244.844	211.026	165.299	211.998	203.662	369.919	189.021	180.665	236.599	84.5455	273.548	45.2459	141.895	221.374	278.313	360.481	221.232	161.184	91.2146	225.945	150.415	139.957	91.4127	176.736	208.679	90.9598	229.395	163.89	146.258	232.649
CRY2	4345.03	6424.81	3487.58	2200.96	3680.19	3208.88	7464.7	5779.48	4143.73	5055.95	2554.08	6950.16	9788.7	4594.79	4281.73	6536.18	3849.5	6986.03	6107.08	9383.92	3365.14	1417.46	3291.86	6769.71	6999.7	2557.85	8349.74	1734.67	3376.94	3178.42	3332.76	2431.22	2615.35	6925.3	5082.33	6535.43	3181.2	3721.45	4763.13	7505.84	12121.5	342.21	1956.19	5040.67	5698.18	3972.36	9095.74	5038.09	5316.45	1917.72	2003.09	2649.14	914.474	1809.89	4582.62	6449.06	4157.59	3894.04	4173.85	4173.21	4744.18	9082.41999999999	6870.5	4618.7	5862.25
MAPK14	676.905	769.737	888.92	572.488	514.151	483.462	843.168	556.354	712.979	725.506	618.69	576.497	699.91	709.006	453.025	742.011	669.181	686.758	818.5	617.872	1196.42	1175.42	994.186	910.165999999999	509.405	723.697	651.207	915.219	591.369	889.212	485.205	717.13	1410.46	511.036	566.512	499.063	428.378	898.056	645.644	795.466	739.837	1644.32	759.517	510.166	490.909	761.421	910.820000000001	883.582	628.036	640.604	1056.7	603.716	1004.39	514.162	787.33	670.748	641.026	430.748	662.218	535.094	692.453	644.336	707.684	572.932	641.643
GADD45A	1300.76	382.989	931.981	3104.19	1860.38	2667.42	1191.76	1782.1	1149.87	1669.03	3474.84	1942.02	1531.86	2569	2884.34	1819.55	3794.54	1890.16	1197.76	1176.47	1538.41	1093.31	1738.76	867.602	1077.03	1412	1590.95	6027.23	2437.96	1094.19	2149.85	4747.27	952.908	2857.72	6181.86	3646.79	2356.08	2055.44	1470.34	1404.36	5510.98	1515.78	2669.79	3867.28	714.545	3029.33	1024.92	1466.66	1693.96	1997.99	1943.64	1395.2	1139.25	1677.87	2245.17	1868.39	1400.64	1364.96	1234.63	2075.09	2256.6	1206.66	1072.54	988.031	2961.76
DHX15	2217.39	1349.62	2829.32	851.811	1241.51	1600.36	1914.09	2098.33	1864.49	2118.2	2437.41	2241.24	1736.53	2725.62	1423.96	1567.67	3133.98	1795.23	2868.11	1547.37	1710.98	1942.58	2095.74	1458.76	1323.97	1273.03	1883.29	1649.05	2136.21	1849.38	1211.97	1803.17	2160.25	2158.91	2461.86	1751.41	2051.06	2888.74	2271.74	2168.44	1923.98	2026.63	2868.58	2791.13	1350	2009.59	1467.54	2066.45	2548.23	2466.55	1678.01	2061.94	1983.55	2057.61	2491.26	1685.61	1172.01	1310.94	3035.53	2019.62	2176.35	1147.79	1253.09	1827.17	2107.29
DOCK1	555.245	1310.62	1173.99	1558.77	434.906	560.489	636.597	607.971	602.627	1191.49	1163.02	824.509	729.608	695.636	873.8	499.06	526.94	566.628	1193.27	771.89	903.893	7097.9	513.953	327.608	1212.87	1530.86	608.63	1502.21	857.384	526.556	593.874	2608.93	2020.74	661.799999999999	1477.21	685.039	1495.71	1415.84	600.716	932.171	752.033	3387.25	364.048	1298.71	1117.27	1127.47	1044.59	633.227	435.808	1223.61	2044.67	738.02	707.237	756.121	413.44	766.069	694.444	606.648	1120.65	850.189	1411.21	995.534	504.567	761.805	816.572
TSC22D3	343.837	753.289	382.539	1677.42	857.547	806.978	1597.95	194.054	602.627	3547.68	4265.06	696.113	650.948	1792.38	2283.72	1050.75	637.572	3826.95	1239.8	1343.51	808.138	1469.71	1313.95	2669.45	1140.58	4242.11	437.94	3573.75	1716.79	806.224	2349.89	316.275	1520.47	572.156	1445.12	11598.4	659.286	550.602	1728.93	717.698	11089	1378.04	1109.37	1258.04	540	388.043	5000.66	2060.33	1544.76	783.291	3797.25	1226.99	4703.95	870.379	972.26	1115.87	1240.38	509.695	616.411	2633.21	1899.9	1518.88	1068.78	5116.93	4140.58
