TCGA-3H-AB3K-01	TCGA-3H-AB3L-01	TCGA-3H-AB3M-01	TCGA-3H-AB3O-01	TCGA-3H-AB3S-01	TCGA-3H-AB3T-01	TCGA-3H-AB3U-01	TCGA-3H-AB3X-01	TCGA-3U-A98D-01	TCGA-3U-A98E-01	TCGA-3U-A98F-01	TCGA-3U-A98G-01	TCGA-3U-A98H-01	TCGA-3U-A98I-01	TCGA-3U-A98J-01	TCGA-LK-A4NW-01	TCGA-LK-A4NY-01	TCGA-LK-A4NZ-01	TCGA-LK-A4O0-01	TCGA-LK-A4O2-01	TCGA-LK-A4O4-01	TCGA-LK-A4O5-01	TCGA-LK-A4O6-01	TCGA-LK-A4O7-01	TCGA-MQ-A4KX-01	TCGA-MQ-A4LC-01	TCGA-MQ-A4LI-01	TCGA-MQ-A4LJ-01	TCGA-MQ-A4LM-01	TCGA-MQ-A4LP-01	TCGA-MQ-A4LV-01	TCGA-MQ-A6BL-01	TCGA-MQ-A6BN-01	TCGA-MQ-A6BQ-01	TCGA-MQ-A6BR-01	TCGA-MQ-A6BS-01	TCGA-NQ-A57I-01	TCGA-NQ-A638-01	TCGA-SC-A6LM-01	TCGA-SC-A6LN-01	TCGA-SC-A6LP-01	TCGA-SC-A6LQ-01	TCGA-SC-A6LR-01	TCGA-SC-AA5Z-01	TCGA-SH-A7BC-01	TCGA-SH-A7BD-01	TCGA-SH-A7BH-01	TCGA-SH-A9CT-01	TCGA-SH-A9CU-01	TCGA-TS-A7OU-01	TCGA-TS-A7OY-01	TCGA-TS-A7OZ-01	TCGA-TS-A7P0-01	TCGA-TS-A7P1-01	TCGA-TS-A7P3-01	TCGA-TS-A7P6-01	TCGA-TS-A7P7-01	TCGA-TS-A7P8-01	TCGA-TS-A7PB-01	TCGA-TS-A8AF-01	TCGA-TS-A8AI-01	TCGA-TS-A8AS-01	TCGA-TS-A8AV-01	TCGA-TS-A8AY-01	TCGA-UD-AABY-01	TCGA-UD-AABZ-01	TCGA-UD-AAC1-01	TCGA-UD-AAC4-01	TCGA-UD-AAC5-01	TCGA-UD-AAC6-01	TCGA-UD-AAC7-01	TCGA-UT-A88C-01	TCGA-UT-A88D-01	TCGA-UT-A88E-01	TCGA-UT-A88G-01	TCGA-UT-A97Y-01	TCGA-XT-AASU-01	TCGA-YS-A95B-01	TCGA-YS-A95C-01	TCGA-YS-AA4M-01	TCGA-ZN-A9VO-01	TCGA-ZN-A9VP-01	TCGA-ZN-A9VQ-01	TCGA-ZN-A9VS-01	TCGA-ZN-A9VU-01	TCGA-ZN-A9VV-01	TCGA-ZN-A9VW-01
BNIP3L	1635.37	2223.98	2904.46	2613.08	1775.13	2538.72	1829.42	2551.07	2991.84	1533.58	4076.14	2947.34	2122.28	3550.22	2060.59	3265.9	2366.44	1676.78	2330.54	2587.24	2194.13	2707.81	2290.56	3765.47	1166.16	846.268	1565.17	1780	2744.95	2913.76	3941.81	3255.81	1928.16	1003.9	3412.47	1538.39	2190.31	2571.46	1870.67	1702	1994.97	1048.49	3130.9	2329.31	2499.02	2760.75	1883.98	2559.47	3513.9	1292.4	2348.58	1780.29	3697.87	2464.02	2703.61	2263.44	1749.33	2299.64	1606.37	2334.56	3366.09	1878.4	2826.91	2783.94	2531.05	1580.42	3212.22	3261.54	1471.31	1916.89	2277.64	1172.63	2182.15	2030.18	3088.52	1957.77	4470.47	2136.39	2051.02	2491.92	1625.89	2306.8	2572.8	1653.32	1990.45	2491.26	3452.38
CDK11B	1265.11	1249.39	645.295	1159.71	982.383	1113.48	1092.97	517.454	1071.47	1056.65	736.223999999999	659.198	958.670000000001	1042.84	1103.69	939.679999999999	676.166	859.497	787.511999999999	688.335	1143.19	1119.88	319.376	621.25	1092.34	1025.58	538.693	1024.23	675.467	1187.6	1461.94	820.903	1051.89	1088.52	900.031	1012.06	1332.88	813.099	1085.98	741.62	1220.66	856.607	848.509	677.23	599.245	1364.7	1053.15	942.553	525.471	623.309	637.327	710.608	774.256	1154.7	824.094	987.318	1425.54	1004.75	1223.49	589.524	568.702	1049.62	1098.07	887.482999999999	873.334	1053.85	998.534000000001	603.35	1120.54	550.16	524.643	889.373	877.033	673.596	1153.76	867.107	561.289	612.63	498.971	590.218	1032.63	1564.53	1140.77	974.936	910.634	1341.53	500.847
CDC34	1456.71	1138.89	1386.71	1101.45	1608.53	2021.53	664.884	515.439	1130.58	827.137	614.213	938.152	877.83	716.444	1243	878.168000000001	2703.04	961.521	1314.95	1341.83	964.186	1016.74	1345.31	923.422	1068.7	1107.32	986.094999999999	1126.38	1598.69	1323.18	2390.32	1501.17	2752.04	1440.5	838.574	630.038	1000.39	2146.87	709.957	1780.42	1422.94	1039.69	1437.46	677.731	973.975000000001	2348.29	8538.53	1014.64	1294.24	1259.93	1048.73	940.007999999999	1210.76	1637.38	703.428	2080.33	1280.47	816.612	1690.91	900.369	1375.57	1008.4	1056.69	1075.39	1053.2	2639.04	1053.84	2148.35	801.807	808.052	1032.31	703.325	742.16	1023.26	1286.88	1161.8	1233.04	820.159	939.666999999999	877.625	1509.23	1147.59	1155.82	431.756	673.539	1116.69	887.255
CRIP1	13795.7	13235	2430.89	4508.59	9682.41	11673.6	8700.15	859.382	8556.58	7639.48	873.877	2017.86	7036.17	2418.67	5640.29	6883.95	4811.12	8029.88	2958.16	3414.8	9261.89999999999	5665.55	6662.23	3909.45	12841.1	11498	2076.67	12732.8	3802.94	6834.11	12332.3	5978.1	26130.1	8165.82	7841.72	7562.38	2996.09	17071.1	4494.59	4006.76	1058.87	6684.79	5907.91	3041.43	7428.11	31769.5	6333.33	1837.15	5563.39	25337.3	3977.88	2587.21	4438.26	8734.58	3342.81	18825.8	8817.46	3165.99	27803.6	6351.78	4655.39	10158.7	7092.6	10958.6	3974.57	8806.79	10435.1	3002.02	6001.06	11438.7	8220.65999999999	7244.25	7213.75	2488.97	3932.96	3353.38	4488.03	3066.96	14503.7	5766.96	12801.6	6775.94	4393.64	11436.8	11977.9	5034.75	1965.69
CRY2	1118.9	462.902	902.19	592.376	640.635	348.651	932.739	857.007	838.411	1165.07	641.937	751.821	783.602	1155.56	697.431	406.848	893.464	769.579	449.601	193.59	1412.24	425.055	1021.34	498.42	1424.05	1266.62	549.448	669.362	374.012	573.01	441.426	440.507	442.131	546.625	613.732	647.793	385.307	1097.11	280.303	786.992	372.536	547.436	415.899	636.179	532.531	1122.74	1103.03	408.509	1143.05	667.159	667.204	1487.09	585.708	600.467	943.206	607.206	805.216	740.521	1119.98	1074.21	663.982	816.609	554.738	825.83	1359.54	335.504	461.587	378.851	396.387	454.349	305.697	766.411	873.434	422.684	733.826	543.141	360.734	532.503	522.988	396.204	702.505	1039.36	880.07	780.255	732.341	1070.9	321.779
MAPK14	736.585	879.684	3025.3	1303.62	1326.39	949.184	454.086	851.306	1416.21	1581.86	1720.81	1344.03	1111.23	1899.56	1437.3	785.683	1498.71	1175.65	1097	1174.1	692.391	1105.93	887.200000000001	910.778	725.866	879.688	3840.42	467.66	1221.39	2040.39	1040.89	1060.66	325.525	609.442	789.308	1312.38	1183.27	597.302	2128.79	2312.79	1164.18	1381.59	985.196	1272.84	876.057	466.667	850.216	896.157	1837.29	701.402	1703.03	1605.09	1034.83	1397.66	1342.63	776.728	1844.6	920.553	566.953	1129.15	1230.96	588.235	1313.72	905.137	1743	1408.33	826.197	1174.94	2365.57	1286.56	1611.82	640.665	1694.47	1074.58	2329.3	1353.66	1352.35	1357.92	693.447	1214.86	573.779	1189.62	1941.93	960.419	1607.48	1245.23	1821.43
GADD45A	456.098	941.177	337.613	1577.4	690.715	1934.02	248.044	142.043	1388.47	374.947	906.287	1304.31	599.48	1192.89	325.195	556.692	670.612	654.142	998.859	1689.48	3060.58	627.618	1442.58	236.158	500.976	391.385	420.533	441.277	2147.59	1758.19	3848.75	955.334	905.778	335.935	790.356	565.739	1389.61	289.3	699.134	984.922	783.702	1491.15	235.925	586.508	1024.07	568.847	967.965	532.937	212.203	645.904	708.213	1483.51	432.384	952.336	1217.85	1870.64	2426.29	1221.44	6733.31	1393.6	913.468	1550.17	2335.79	460.327	1093.87	669.43	634.131	616.259	2460.15	406.039	2142.01	392.157	359.853	1366.5	269.858	872.046	2028.33	451.012	528.486	851.777	883.525	342.576	757.514	146.497	303.169	1868.65	1334.03
DHX15	2366.46	2026.69	1635.95	1665.57	2479.24	3153.61	2546.21	1772.45	1649.08	2513.59	2049.59	1955.75	2227.88	2342.22	1249.14	2258.78	2748.84	2739.7	2070.75	2634.89	4062.65	2222.96	1222.15	1450.39	2026.66	2450.43	1275.63	2467.66	2115.98	1858.46	2849.35	1582.87	1517.27	2305.5	1177.15	1451.54	4935.91	1788.72	3390.15	1254.18	1738.33	2182.55	2365.78	2111.52	2299.28	1522.12	692.641	3271.27	2402.71	1989.08	2188.23	2103.69	1878.34	2272.43	2351.9	2115.77	2605.11	1977.37	2325.5	2181.22	1785.41	4014.34	1942.88	2414.13	2207.8	1388.59	1815.18	2319.84	2117.43	1661.54	2233.84	2399.83	2742.94	1437.96	2771.32	1872.19	2965.28	2774.8	2460.97	2833.6	2280.49	2371.2	2460.46	3061.87	3357.39	2148.22	3020.31
DOCK1	1186.59	1132.91	1816.09	884.18	2000.74	1434.43	1372.56	1943.47	955.929999999999	1220.32	4561.11	2557.35	1702.59	2311.11	1295.67	1501.11	920.226	1701.67	2071.89	1256.12	820.327	2016.81	1484.94	1658.82	1395.23	1197.55	1935.8	1458.3	1700.5	966.478	918.484	1077.4	189.485	1229.81	987.946	1556.62	1808.91	1456.45	1175.32	1246.62	1331.92	1278.82	1014.1	1203.1	1713.73	307.165	38.961	1059.93	1178.31	645.904	1592.44	1938.42	1669.83	1854.67	2930.54	874.188	1928.69	911.601	794.728	1917.18	1219.51	1144.34	1306.36	1653.38	2845.85	1098.88	1072.73	2185.49	2310.84	1625.31	1117.35	1752.34	2402.66	1721.9	1615.28	1529.3	1545.09	2512.68	1385.67	1626.01	614.738	1372.54	3295.01	1738.85	1767.09	1492.67	1480.39
TSC22D3	707.927	435.572	2141.24	5391.79	1254	824.633	429.916	2999.05	6121.33	2137.04	985.161999999999	7056	2518.14	5217.78	6909.37	1473.99	8678.85	1782.71	9139.98	672.763	10550	2900.9	17294.5	838.585	2668.34	1320.46	3732.81	1574.47	2756.85	870.498	1457.59	2777.9	448.378	318.377	1658.28	868.042	1570.14	1093.13	401.515	1676.96	4174.63	1210.84	1505.07	3983.76	1150.94	479.751	6434.63	1372.83	464.407	1140.07	8749.68	4559	734.057	779.439	6310.06	4649.73	2028.74	15714.1	3709.56	2463.71	1333.33	2744.44	8141.5	2177.5	2830.53	1184.13	3361.78	268.283	1075.45	988.641	521.684	637.681	1720.96	936.975	1094.07	2376.17	3886.67	780.729	1140.06	2054.12	898.153	3173.97	654.216	438.126	1131.73	2291.22	1419.47
