TCGA-2J-AAB1-01	TCGA-2J-AAB4-01	TCGA-2J-AAB6-01	TCGA-2J-AAB8-01	TCGA-2J-AAB9-01	TCGA-2J-AABA-01	TCGA-2J-AABE-01	TCGA-2J-AABF-01	TCGA-2J-AABH-01	TCGA-2J-AABI-01	TCGA-2J-AABK-01	TCGA-2J-AABO-01	TCGA-2J-AABP-01	TCGA-2J-AABR-01	TCGA-2J-AABT-01	TCGA-2J-AABU-01	TCGA-2J-AABV-01	TCGA-2L-AAQA-01	TCGA-2L-AAQE-01	TCGA-2L-AAQI-01	TCGA-2L-AAQJ-01	TCGA-2L-AAQL-01	TCGA-2L-AAQM-01	TCGA-3A-A9I5-01	TCGA-3A-A9I7-01	TCGA-3A-A9I9-01	TCGA-3A-A9IB-01	TCGA-3A-A9IC-01	TCGA-3A-A9IH-01	TCGA-3A-A9IJ-01	TCGA-3A-A9IL-01	TCGA-3A-A9IN-01	TCGA-3A-A9IO-01	TCGA-3A-A9IR-01	TCGA-3A-A9IS-01	TCGA-3A-A9IU-01	TCGA-3A-A9IV-01	TCGA-3A-A9IX-01	TCGA-3A-A9IZ-01	TCGA-3A-A9J0-01	TCGA-3E-AAAY-01	TCGA-3E-AAAZ-01	TCGA-F2-6879-01	TCGA-F2-6880-01	TCGA-F2-7273-01	TCGA-F2-7276-01	TCGA-F2-A44G-01	TCGA-F2-A44H-01	TCGA-F2-A7TX-01	TCGA-F2-A8YN-01	TCGA-FB-A4P5-01	TCGA-FB-A4P6-01	TCGA-FB-A545-01	TCGA-FB-A5VM-01	TCGA-FB-A78T-01	TCGA-FB-A7DR-01	TCGA-FB-AAPP-01	TCGA-FB-AAPQ-01	TCGA-FB-AAPS-01	TCGA-FB-AAPU-01	TCGA-FB-AAPY-01	TCGA-FB-AAPZ-01	TCGA-FB-AAQ0-01	TCGA-FB-AAQ1-01	TCGA-FB-AAQ2-01	TCGA-FB-AAQ3-01	TCGA-FB-AAQ6-01	TCGA-H6-8124-01	TCGA-H6-A45N-01	TCGA-H8-A6C1-01	TCGA-HV-A5A3-01	TCGA-HV-A5A4-01	TCGA-HV-A5A5-01	TCGA-HV-A5A6-01	TCGA-HV-A7OL-01	TCGA-HV-A7OP-01	TCGA-HV-AA8V-01	TCGA-HV-AA8X-01	TCGA-HZ-7289-01	TCGA-HZ-7918-01	TCGA-HZ-7919-01	TCGA-HZ-7920-01	TCGA-HZ-7922-01	TCGA-HZ-7923-01	TCGA-HZ-7924-01	TCGA-HZ-7925-01	TCGA-HZ-7926-01	TCGA-HZ-8001-01	TCGA-HZ-8002-01	TCGA-HZ-8003-01	TCGA-HZ-8005-01	TCGA-HZ-8315-01	TCGA-HZ-8317-01	TCGA-HZ-8519-01	TCGA-HZ-8636-01	TCGA-HZ-8637-01	TCGA-HZ-8638-01	TCGA-HZ-A49G-01	TCGA-HZ-A49H-01	TCGA-HZ-A49I-01	TCGA-HZ-A4BH-01	TCGA-HZ-A4BK-01	TCGA-HZ-A77O-01	TCGA-HZ-A77P-01	TCGA-HZ-A77Q-01	TCGA-HZ-A8P0-01	TCGA-HZ-A8P1-01	TCGA-HZ-A9TJ-01	TCGA-IB-7644-01	TCGA-IB-7645-01	TCGA-IB-7646-01	TCGA-IB-7647-01	TCGA-IB-7649-01	TCGA-IB-7651-01	TCGA-IB-7652-01	TCGA-IB-7885-01	TCGA-IB-7886-01	TCGA-IB-7887-01	TCGA-IB-7888-01	TCGA-IB-7889-01	TCGA-IB-7890-01	TCGA-IB-7891-01	TCGA-IB-7893-01	TCGA-IB-7897-01	TCGA-IB-8126-01	TCGA-IB-8127-01	TCGA-IB-A5SO-01	TCGA-IB-A5SP-01	TCGA-IB-A5SQ-01	TCGA-IB-A5SS-01	TCGA-IB-A5ST-01	TCGA-IB-A6UF-01	TCGA-IB-A6UG-01	TCGA-IB-A7LX-01	TCGA-IB-A7M4-01	TCGA-IB-AAUM-01	TCGA-IB-AAUN-01	TCGA-IB-AAUO-01	TCGA-IB-AAUP-01	TCGA-IB-AAUQ-01	TCGA-IB-AAUR-01	TCGA-IB-AAUS-01	TCGA-IB-AAUT-01	TCGA-IB-AAUU-01	TCGA-IB-AAUV-01	TCGA-IB-AAUW-01	TCGA-L1-A7W4-01	TCGA-LB-A7SX-01	TCGA-LB-A8F3-01	TCGA-LB-A9Q5-01	TCGA-M8-A5N4-01	TCGA-OE-A75W-01	TCGA-PZ-A5RE-01	TCGA-Q3-A5QY-01	TCGA-Q3-AA2A-01	TCGA-RB-A7B8-01	TCGA-RB-AA9M-01	TCGA-RL-AAAS-01	TCGA-S4-A8RM-01	TCGA-S4-A8RO-01	TCGA-S4-A8RP-01	TCGA-US-A774-01	TCGA-US-A776-01	TCGA-US-A779-01	TCGA-US-A77E-01	TCGA-US-A77G-01	TCGA-US-A77J-01	TCGA-XD-AAUG-01	TCGA-XD-AAUH-01	TCGA-XD-AAUI-01	TCGA-XD-AAUL-01	TCGA-XN-A8T3-01	TCGA-XN-A8T5-01	TCGA-YB-A89D-01	TCGA-YH-A8SY-01	TCGA-YY-A8LH-01	TCGA-Z5-AAPL-01
BNIP3L	1611.22	1912.46	2132.16	1522.91	1644.16	1781.12	1551.41	1623.11	1033.97	3560.23	1868.87	2363.78	2011.57	1874.46	1842.3	3694.32	900.787	2366.38	1205.28	1808.83	2288.61	1630.69	3434.42	1132.05	1672.02	1647.59	2165.47	1909.63	1705.16	1682.14	1340.48	1668.59	2377.34	980.131	3035.44	3127.86	2263.51	1780.91	3355.39	2436.76	1555.83	1504.86	1941.11	1297.33	2402.66	1949.77	3631.35	1854.59	1294.63	1420.93	2234.97	1982.29	4336.11	2113.72	1535.58	1579.3	2174.93	4768.1	2775.17	1654.27	1971.83	2239.68	3209.67	3247.06	1700.79	2833.23	1439.44	5889.98	2176.93	1316.81	2142.1	2001.61	1985.56	1789.08	1512.01	1307.46	2680.89	2765.94	1315.73	2568.1	1911.59	2703.44	3422.27	3178.93	1450.12	2879.2	1529.12	2922.7	2484.85	2128.47	3114.7	2500.57	1920.22	2713.34	3191.47	2180.28	1577.73	2502.74	2301.47	1665.25	2072.47	1427.68	1940.81	1593.94	2764.98	1583.15	837.725	1335.67	2457.67	2618.71	3627.92	2360.69	3057.86	2991.04	3032.87	3318.62	1697.84	2024.7	3285.64	2058.92	4156.42	2295.7	4739.51	3246.84	2243.05	1708.48	2162.73	1562.03	2324.78	3517.6	1965.92	1837.73	1324.8	3051.9	1556.68	1311.83	2019.67	1801.25	1739.74	2173.47	1552.3	2778.54	2263.16	1489.14	3273.29	1845.06	2656.84	1741.39	1087.31	1467.91	2828.83	1368.92	1768.76	1814.1	1881.76	2257.47	1702.58	2148.98	1346.36	3047.92	1506.09	1909.89	1391.47	1605.09	2366.81	1474.21	1741.78	2793.92	2411.76	2103.02	1802.08	2206.22	1911.8	3016.96	2855.72	1851.62	1664.39
CDK11B	1224.41	843.986	959.994	850.83	795.745	645.574	1230.47	1267.43	812.23	666.437	1002.54	923.446	1127.6	738.231	1436.08	1125.23	1159.89	718.729	1104.44	755.111	1270.62	1720.49	897.774	868.289	1508.57	2479.42	991.805	1256.95	938.016	1062.3	750.913	918.343000000001	433.845	1036.91	594.725	1274.96	491.73	842.785	1069.38	1181.82	1074.19	907.897999999999	1051	1002.5	760.311	825.864	438.929	963.388999999999	936.904	1112.41	1226.85	784.612	1090.62	761.44	1212.34	1063.5	1632.59	700.084	1348.41	694.63	1200.11	1078.19	1570.32	797.097	1142.88	748.781	1228.97	885.952	878.597	1179.25	1156.46	1110.93	803.368	1454.46	1654.2	525.107	925.485	2788.31	748.698	528.916	1022.57	813.978	805.503	786.256	948.838	972.303	821.830999999999	787.215	828.777	894.095	779.038	924.354	756.314	710.472	815.017	1008.92	771.188	863.359	951.649	1308.95	896.861	1352.06	912.229	1186.58	1056.9	1099.49	983.97	1030.48	1515.74	1010.12	616.162	849.469	701.402	678.93	1113.15	945.708	687.153	909.192	982.961	866.316	839.283	692.553	646.492	678.713	682.844	735.523	1061.96	1254.89	745.169	924.426	1124.29	1126.5	958.07	820.045	1118.89	902.545	779.955	1460.3	1072.07	947.404	1131.89	886.335	860.855	1054.84	736.944	904.573	988.494999999999	1562.16	1046.3	1012.89	958.030000000001	1683.94	1441.33	1497.33	842.336	1237.62	915.339	1044.35	678.578	880.438	919.508	1063.88	1807.08	1477.62	1188.73	1355	831.407	871.635	891.426	873.571	1367.06	831.54	1076.44	1225.61	1094.31	952.57	1342.58
CDC34	1222.44	903.62	1290.64	909.988000000001	1165.06	909.347	940.342000000001	714.45	1057.93	1063.5	1082.55	945.513	1440.82	808.287	997.497	743.45	2456.69	1127.29	1226.6	1047.98	1425.74	2053.08	1759.64	1956.18	1070.58	1573.37	1494.31	1124.44	968.348	1761.94	1232.71	1918.01	759.343	1077.56	977.737	881.81	1529.96	798.366	657.993	691.841	1121.89	1127.52	463.486	1642.22	578.842	556.932	1462.47	1217	860.158	796.729	1053.93	762.262	1374.72	2351.59	1203.5	1192.11	2243.09	1023.08	1155.86	1049.03	892.741	1280.23	1198.96	1219.09	1107.03	1333.64	1153.05	535.49	899.454	983.836	1048.08	787.748999999999	1082.03	1101.71	2365.37	4979.57	1146.94	1157.55	2507.58	564.008	593.361	413.696	380.728	491.385	601.496	561.657	696.213	876.074	419.251	685.37	1238.9	487.694	640.754	634.835	473.303	523.535	670.251	799.234	970.906	1421.54	777.538	1255.06	1800.75	1227.38	1007.64	1140.98	1086.23	1120.89	764.724	474.844	536.041	712.755	582.029	658.974	716.406	673.659	609.52	798.809	456.797	780.799	540.626	567.814	504.123	375.497	808.294	811.5	1132.89	1095	1135.68	888.889	844.037	984.393	1236.23	1211.39	1638.35	1122.58	1144.46	1550.4	582.113	646.684	829.125	942.675	1125	981.253000000001	840.993999999999	641.369	1049.66	738.954	2311.17	1220.37	1153.36	1870.41	1685.47	799.885	1436.19	948.626	802.146	1246.52	708.524	1181.04	843.833	769.263	2874.08	1413.65	1225.33	677.773	1007.31	745.946	608.017	931.649	1591.68	869.726	871.275	1226.1	867.991	1511.63	630.769
CRIP1	9730.73	2408.25	4867.25	4156.99	2726.69	1664.63	4305.23	1523.88	1039.63	1359.22	7113.5	8644.23	924.25	2419.91	2905.51	4650.65	1629.92	4706.62	6959.22	1355.04	6750.99	5229.73	4010.68	1929.17	3543.11	8253.82	8218.48	1906.67	3852.87	761.803	402.145	1638.57	299.496	211.036	34.9841	3231.55	966.466	2273.4	6398.51	8401.9	3719.16	8707.93	8335.39	157.103	733.999	1007.03	2014.35	2073.83	2530.78	2405.12	4058.83	952.316000000001	3890.99	2646.84	4042.45	2326.3	739.35	4059.12	3353.79	750.918	5122.97	4609.7	5813.04	4638.02	10405.3	13312.3	5426.29	2140.31	1277.47	2570.04	3610.65	2216.01	1940.5	1560.49	24615.5	2144.02	2696.9	12032.9	8468.9	920.654	3058.7	1024.52	1873.66	1143.14	1453.62	3744.27	1076.6	3793.86	1041.71	605.139	2640.79	2360.47	1669.43	634.835	2826.18	2393.21	1955.08	1706.78	1813.24	5129.97	3325.65	4462.39	4369.31	3016.1	4052.88	2222.79	2694.01	3440.55	3665.03	1129.31	5806.6	2484.06	1717.49	1353.79	2445.53	4402.45	2732.67	3791.19	2045.68	3898.64	1659.8	888.174	1298.35	808.818	881.027	1835.91	2637.74	11694.2	3471.73	5671.13	2197.9	3539.58	2671.61	2395.69	4865.84	826.523	1179.88	6015.16	2203.05	5715.56	2394.95	1888.78	931.22	3164.47	909.317	1182.85	4057.25	899.455	2777.16	2391.41	3486.5	12470.2	6264.04	5967.23	4658.26	3155.91	1433.48	1970.53	1289.4	10163.4	2752.78	1710.32	5732.97	7800.28	3317.03	4903.24	3415.35	1054.73	3439.35	3980.19	4952.6	4494.73	2737.78	4766.7	2992.99	8690.11	4002.28
CRY2	1588.29	1683.92	512.281	857.344	1145.77	1506.18	1148.14	966.776	1595.82	1093.61	1305.67	959.135	418.201	1559.06	1425.53	930.131	1026.77	1015.08	1096.85	1022.23	1024.26	1456.05	2000.59	1466.39	1021.13	1172.8	763.076	1206.91	1136.39	7912.22	4428.42	6190.53	2363.89	3297.74	3724.67	1095.78	5480.57	1308.01	843.866	993.927	1318.38	961.855	919.611	1915.93	1723.49	1339.25	855.408	942.953	879.947	1067.63	1418.56	1912.81	1152.91	980.699	1036.62	1725.69	443.053	1535.52	1526.9	751.669	1145.18	986.966	1092.98	817.387	744.067	621.763	1127.7	809.002	1429.46	873.384	953.860000000001	864.051999999999	1485.85	754.283	903.882	587.334	1278.86	885.670999999999	403.555	1058.08	1115.42	2307.92	1014.13	2060.3	885.785	1472.23	768.35	1230.27	1347.95	1592.03	993.532	1140.48	836.498	2168.67	1015.47	956.452	933.734	1422.87	1648.1	1254.85	1184.07	886.692	793.262	1559.43	1344.89	586.45	674.251	1872.92	882.822	1414.55	1125.89	1142.18	1254.6	954.114	1278.03	1080.81	976.814	986.599	1394.06	1000.41	1140.18	1279.3	1185.16	2244.67	1813.52	1359.84	1929.1	1250.34	1360.16	910.902	906.946	986.803	1150.88	864.23	857.215	1632.26	1121.42	586.317	1049.39	1318.24	1304.33	1330.23	1442.58	1226.25	1727.12	1747.15	522.482	663.342	801.523	914.364	989.661000000001	1523.34	1107.43	1128.56	628.695	700.717	1200.86	1279.74	1333.47	694.406	1113.82	1195.79	617.834	1228.76	1220.09	1244.18	1900.73	2960.14	2425.3	1168.4	1198.75	1149.26	1284.86	1266.19	894.86	1120.49	1100.85
MAPK14	998.049	1004.21	898.83	1380.02	1195.07	1657.12	1136.43	1429.25	1386.76	1041.73	1064.49	1132.21	1282.48	1164.5	1447.43	866.812	1009.45	1237.48	1004.63	1425.49	1590.1	1036.24	655.786	881.153	1367.29	1067.99	1372.97	942.715999999999	994.676	600.612	856.301	807.159	1484.03	1147.1	840.073	1172.23	760.488	1426.44	1365.06	1120.68	1195.03	1053.1	1277.09	871.433	1484.76	1372.4	1191.5	1382.55	1552.33	1533.2	1151.99	1197.55	1056.78	1141.89	1116.52	1327.1	1017.56	1384.75	1200	1380.94	1037.92	1574.22	1145.68	1012.24	1371.8	1371.93	990.61	1066.86	1470.77	1177.26	1491.14	961.311000000001	1110.92	3361.88	686.383	1060.27	1086.81	1372.38	1279.14	1406.54	1263.57	1414.09	1624.84	1650.1	1466.58	1700.97	1468.2	984.458	1603.92	1246.98	2248.38	1312	1275.9	1322.66	1780.3	1435.8	1620.43	1338.07	1158.77	1413.29	1400.05	994.214	1310.29	1432.13	1239.13	966.778	1323.35	1641.52	1686.2	1430.77	1176.14	1303.97	1452.01	1409.18	1519.22	1594.03	1552.81	1638.96	1408.92	1210.96	1363.61	1646.4	1516.87	1487.17	1317.42	1829.18	1344.44	1055.4	1367.52	1141.66	1840.1	994.994	1024.73	1554.88	1426.33	1145.52	1379.99	782.084	1655.7	1224.49	1126.24	1307.2	1239.23	1233.06	1564.39	1242.23	1412.37	919.865	960.913999999999	1204.84	1302.13	1291.96	994.051	1174.3	858.688	1025.69	1318.45	1303.86	1516.01	1163.39	1275.81	1299.37	1187.65	664.003	1314.85	751.712	1286.85	1179.05	1211.35	1258.54	1577.55	1072.26	1355.18	1062.18	1111.57	1417.7	1260.97
GADD45A	1607.32	1863.64	1565.5	821.622	758.842	1390.95	1021.74	650.66	684.669	789.187	650.473	964.744	844.818	1328.39	704.631	1008.73	555.905	748.039	612.141	532.98	1057.92	1005.2	364.985	438.776	584.531	573.938	1027.91	589.136	751.912	594.76	187.668	597.575	620.199	433.434	348.024	484.622	659.464	997.243999999999	913.011	866.121	1242.32	398.28	823.91	531.451	1268.13	831.547	616.998	591.723	774.846	873.981	1008.9	769.755	1299.02	1844.03	396.588	524	719.875	1059.88	1557.24	779.078	1002.71	802.317	448.205	1374.47	1132.62	1112.11	707.041999999999	1504.73	1402.18	852.371	472.648	995.701	584.633	560.492	845.964	133.81	600.388	722.715	282.802	816.36	943.12	634.647	626.553	1263.75	560.848	1023.53	974.759	1145.6	922.282	489.25	837.861	788.716	733.019	1021.06	1100.76	906.18	579.472	1203.5	1684.68	1320.86	1445.64	1099.33	882.94	595.859	1715.04	661.585	566.467	931.876	712.883	1289.4	1484.26	904.339	834.581	605.756	876.226	1015.36	884.143	785.846	1246.56	702.925	726.13	584.111	866.942	1036.86	1088.93	874.96	1834.56	968.084	1346.93	584.116	823.941	941.992	500.289	559.316	1703.78	547.67	1055.09	933.09	1045.43	1652.42	1216.86	705.537	1381.58	948.871	2370.6	875.737	1053.94	626.696	655.33	800.183	452.613	1434.46	584.226	1370.55	1019.47	1526.88	770.386	1445.34	521.83	1552.2	860.773	664	646.742	1010.62	732.751	1141.94	1346.53	2479.73	869.339	1218.42	640.748	812.764	1553.64	1421.89	803.154	723.625	998.291
DHX15	2081.46	2220.54	2241.52	1852.88	2017.15	2889.62	2446.12	2585.98	2595.38	3034.83	2532.24	2227.56	3090.48	2669.76	2259.7	2886.46	1740.16	3550.77	2069.51	2779.07	2160.4	1309.21	1458.75	1325.93	1933.22	1946.18	2129.6	1584.2	3090.89	1473.07	1451.48	1492.49	1546.1	2206.76	2227.62	2718.37	1802.16	2336.7	2846.1	2736.2	2536.32	1936.42	2816.84	2181.04	2418.1	3024.45	3105.41	2082.77	3510.99	2757.91	2124.57	2423.71	3080.24	1845.07	3101.12	1776.76	3444.27	2343.22	1837.93	3207.55	1914.41	2924.69	2423.38	1869.1	2542.58	2053.02	2541.78	4088.67	2172.25	3220.91	2772.81	2378.83	1974	2689.51	1916.2	922.37	2014.06	2921.12	2755.88	2293.25	3902.8	2919.69	3536.19	2340.95	3362.09	1920.3	4133.33	2017.18	2742.25	2936.55	2896.08	3283.6	2961.13	2961.16	3846.89	2959.33	3024.51	1955.69	2518.7	1809.93	3221.02	1981.68	2785	2168.33	2393.65	3078.53	3211.98	1809.34	2821.78	2998.75	2918.27	3223.21	2437.71	2378.22	2393.85	2661.41	2634.72	2002.63	2257.57	2049.86	2393.62	2508.85	3281.48	2919.05	2496.24	3134.62	2416.89	1840.73	2325.27	2489.42	2772.39	2903.07	2694.69	3162.57	2198.33	2622.22	3398.54	2411.67	2244.41	1511.48	2445.9	2113.18	1945.57	2881.55	2093.58	2346.83	3797.93	3174.77	1974.62	2376.8	2373.92	1662.36	2165.39	1944.93	2852.92	2141.58	2821.89	1399.25	3164.66	2499.76	3165.17	2501.05	3589.91	2103.85	2205.24	3167.96	1835.57	2283.78	1963.56	2507.68	2219.54	2782.17	2508.34	2342.75	2529.79	3474.81	2997.72
DOCK1	1513.66	1766.41	1316.96	2223.27	1951.77	1509.32	2221.06	1880.39	2158.97	1887.52	1619.52	1878.21	1078.38	1860.23	2132.04	1759.83	486.614	1701.99	1820.67	1606.23	1270.3	931.456	703.264	1091.84	1852.07	1600.57	2136.05	2049.88	1574.29	330.895	1277.21	1151.27	1971.29	4203.17	881.418	1337.43	1198.26	2029.61	1310.78	2345.39	1662.12	2298.8	2078.03	1723.23	2487.29	2083.05	1355.41	2439.6	1773.97	1955	1502.81	2225.48	1679.79	630.151	1738.24	2334.51	977.221	1128.08	2084.14	1272.81	1631.09	1771.9	1341.65	1758.18	1399.26	1000.23	1918.31	1644.78	1918.94	1955.28	1820.51	1993.55	1880.42	1362.42	582.255	310.521	2328.32	2115.41	552.013	1665.44	2182.13	1706.5	3128.05	1953.28	1953.37	2863.51	2058.63	1119.84	2755.08	2017.3	1751.19	2149.19	1906.97	1664.86	2264.44	1459.49	1871.9	2043.22	1073.98	1477.1	1459.56	1883.32	1032.96	2220.86	1879.55	1371.71	1892.81	1500.05	1650.61	2267.78	1194.42	2406.17	2374.4	2065.44	2197.19	1219.1	2521.33	1368.84	2078.15	1454.06	3142.81	2329.15	1986.88	2531.98	1198.03	1873.21	2251.45	1036.62	2013.04	1933.77	1760.16	1758.71	2238.96	2703.82	1159.02	1921.86	1707.14	1745.67	1765.7	1508.93	1403.97	1592.85	2005.38	2117.6	2245.96	2195.44	1352.56	2959.06	1639.09	1559.26	1929.35	785.998	1434.8	894.02	1695.75	2008.36	2074.25	1566.45	1786.28	805.854	2339.86	1846.74	562.959	1574.87	1687.34	1792.79	937.881	2412.16	1467.46	1357.6	2095.63	2173.52	1766.39	1985.61	2112.73	1184.43	883.191
TSC22D3	14283.9	8489.9	2302.92	3035.49	6672.03	11553.5	4952.67	4326.75	7206.88	4197.39	4390.8	7523.24	7486.06	11717.4	8629.54	5043.67	3023.62	5523.43	2789.16	1912.8	3578.71	6835.2	3460.53	6471.19	1749.79	4824.93	2793.51	5198.02	7210.14	2598.22	5843.44	8719.4	3779.13	739.832	2418.9	1827.77	5685.98	5022.56	2407.43	4073.94	5648.95	5024.31	4721.14	3191.16	12411.7	5902.55	5464.68	3350.11	3644.68	3974.89	14424.6	9894.41	3772.9	6087.64	3349.15	3538.94	166.928	2668.99	11222.1	1493.58	7126.22	6714.7	2669.69	4916.81	8132.15	7611.34	4332.39	4801.29	8916.60000000001	3845.37	2671.59	2969.91	5308.49	2564.24	3443.01	1985.7	4746.36	3656.36	643.492	6541.92	4770.66	10465.3	5286.94	12223.7	3523.44	9491.68	5747.93	3261.35	7713.37	4611.43	7633.46	5650.51	3036.57	6930.98	4995.54	5962.86	1775.74	4209.52	11024.7	6871.68	6409.41	6853.91	3333.58	4595.48	7201.53	4809.29	2264.07	2666.19	2903.68	8156.34	10355.8	6167.54	7387.34	12026.3	4456.14	3865.4	4557.84	3880.18	8196.48	6765.97	3558.4	3790.72	2219.64	7709.79	2070.14	7163.89	10818.3	3073.3	5871.99	3786.32	15114.9	11321.7	8270.88	6297.59	5421.25	6134.05	6415.4	1059.99	8480.02	10832.9	8474.74999999999	14176.4	7423.44	3242.01	18121.7	5244.2	3067.39	2596.31	2032.99	3356.93	5525.56	9942.9	6816.94	24915	4105.26	5568.7	4632.19	9409.43000000001	3426.2	5115.51	4614.61	2675.79	781.97	3097.34	10731	6215.88	18010.4	16883.1	9000	10730.1	10647.8	11787.4	2806.32	4176.77	2199.18	1845.88	13329.9
