TCGA-P7-A5NX-01	TCGA-P7-A5NY-01	TCGA-P8-A5KC-01	TCGA-P8-A5KD-01	TCGA-P8-A6RX-01	TCGA-P8-A6RY-01	TCGA-PR-A5PF-01	TCGA-PR-A5PG-01	TCGA-PR-A5PH-01	TCGA-QR-A6GO-01	TCGA-QR-A6GR-01	TCGA-QR-A6GS-01	TCGA-QR-A6GT-01	TCGA-QR-A6GU-01	TCGA-QR-A6GW-01	TCGA-QR-A6GX-01	TCGA-QR-A6GY-01	TCGA-QR-A6GZ-01	TCGA-QR-A6H0-01	TCGA-QR-A6H1-01	TCGA-QR-A6H2-01	TCGA-QR-A6H3-01	TCGA-QR-A6H4-01	TCGA-QR-A6H5-01	TCGA-QR-A6H6-01	TCGA-QR-A6ZZ-01	TCGA-QR-A700-01	TCGA-QR-A702-01	TCGA-QR-A703-01	TCGA-QR-A705-01	TCGA-QR-A706-01	TCGA-QR-A707-01	TCGA-QR-A708-01	TCGA-QR-A70A-01	TCGA-QR-A70C-01	TCGA-QR-A70D-01	TCGA-QR-A70E-01	TCGA-QR-A70G-01	TCGA-QR-A70H-01	TCGA-QR-A70I-01	TCGA-QR-A70J-01	TCGA-QR-A70K-01	TCGA-QR-A70M-01	TCGA-QR-A70N-01	TCGA-QR-A70O-01	TCGA-QR-A70P-01	TCGA-QR-A70Q-01	TCGA-QR-A70R-01	TCGA-QR-A70T-01	TCGA-QR-A70U-01	TCGA-QR-A70V-01	TCGA-QR-A70W-01	TCGA-QR-A70X-01	TCGA-QR-A7IN-01	TCGA-QR-A7IP-01	TCGA-QT-A5XJ-01	TCGA-QT-A5XK-01	TCGA-QT-A5XL-01	TCGA-QT-A5XM-01	TCGA-QT-A5XN-01	TCGA-QT-A5XO-01	TCGA-QT-A5XP-01	TCGA-QT-A69Q-01	TCGA-QT-A7U0-01	TCGA-RM-A68T-01	TCGA-RM-A68W-01	TCGA-RT-A6Y9-01	TCGA-RT-A6YA-01	TCGA-RT-A6YC-01	TCGA-RW-A67V-01	TCGA-RW-A67W-01	TCGA-RW-A67X-01	TCGA-RW-A67Y-01	TCGA-RW-A680-01	TCGA-RW-A681-01	TCGA-RW-A684-01	TCGA-RW-A685-01	TCGA-RW-A686-01	TCGA-RW-A688-01	TCGA-RW-A689-01	TCGA-RW-A68A-01	TCGA-RW-A68B-01	TCGA-RW-A68C-01	TCGA-RW-A68D-01	TCGA-RW-A68F-01	TCGA-RW-A68G-01	TCGA-RW-A7CZ-01	TCGA-RW-A7D0-01	TCGA-RW-A8AZ-01	TCGA-RX-A8JQ-01	TCGA-S7-A7WL-01	TCGA-S7-A7WM-01	TCGA-S7-A7WN-01	TCGA-S7-A7WO-01	TCGA-S7-A7WP-01	TCGA-S7-A7WQ-01	TCGA-S7-A7WR-01	TCGA-S7-A7WT-01	TCGA-S7-A7WU-01	TCGA-S7-A7WV-01	TCGA-S7-A7WW-01	TCGA-S7-A7WX-01	TCGA-S7-A7X0-01	TCGA-S7-A7X1-01	TCGA-S7-A7X2-01	TCGA-SA-A6C2-01	TCGA-SP-A6QC-01	TCGA-SP-A6QD-01	TCGA-SP-A6QF-01	TCGA-SP-A6QG-01	TCGA-SP-A6QH-01	TCGA-SP-A6QI-01	TCGA-SP-A6QJ-01	TCGA-SP-A6QK-01	TCGA-SQ-A6I4-01	TCGA-SQ-A6I6-01	TCGA-SR-A6MP-01	TCGA-SR-A6MQ-01	TCGA-SR-A6MR-01	TCGA-SR-A6MS-01	TCGA-SR-A6MT-01	TCGA-SR-A6MU-01	TCGA-SR-A6MV-01	TCGA-SR-A6MX-01	TCGA-SR-A6MY-01	TCGA-SR-A6MZ-01	TCGA-SR-A6N0-01	TCGA-TT-A6YJ-01	TCGA-TT-A6YK-01	TCGA-TT-A6YN-01	TCGA-TT-A6YO-01	TCGA-TT-A6YP-01	TCGA-W2-A7H5-01	TCGA-W2-A7H7-01	TCGA-W2-A7HA-01	TCGA-W2-A7HB-01	TCGA-W2-A7HC-01	TCGA-W2-A7HD-01	TCGA-W2-A7HE-01	TCGA-W2-A7HF-01	TCGA-W2-A7HH-01	TCGA-W2-A7UY-01	TCGA-WB-A80K-01	TCGA-WB-A80L-01	TCGA-WB-A80M-01	TCGA-WB-A80N-01	TCGA-WB-A80O-01	TCGA-WB-A80P-01	TCGA-WB-A80Q-01	TCGA-WB-A80V-01	TCGA-WB-A80Y-01	TCGA-WB-A814-01	TCGA-WB-A815-01	TCGA-WB-A816-01	TCGA-WB-A817-01	TCGA-WB-A818-01	TCGA-WB-A819-01	TCGA-WB-A81A-01	TCGA-WB-A81D-01	TCGA-WB-A81E-01	TCGA-WB-A81F-01	TCGA-WB-A81G-01	TCGA-WB-A81H-01	TCGA-WB-A81I-01	TCGA-WB-A81J-01	TCGA-WB-A81K-01	TCGA-WB-A81M-01	TCGA-WB-A81N-01	TCGA-WB-A81P-01	TCGA-WB-A81Q-01	TCGA-WB-A81R-01	TCGA-WB-A81S-01	TCGA-WB-A81T-01	TCGA-WB-A81V-01	TCGA-WB-A81W-01	TCGA-WB-A821-01	TCGA-WB-A822-01	TCGA-XG-A823-01
BNIP3L	1722.97	2229.68	1844.85	1662.61	6405.75	1944.9	1554.18	869.221	1910.81	1652.25	2144.25	1577.36	2117.23	2413.94	2070.72	1685.98	1666.7	3334.32	2153.11	1660.56	1960.89	1984.69	1824.25	2882.74	1701.84	3900.18	1215.51	1626.2	4176.99	2711.65	2794.3	1825.79	1876.34	1854.19	1749.83	2482.19	3125.17	1800.12	2396.99	2171.99	3638.76	1215.98	1401.9	3559.97	1135.52	2750.4	2644.09	1202.82	1687.82	1263.51	1495.72	1190.01	1889.36	1670.89	1775.99	5597.87	2000	1711.07	1795.19	1456.56	2410.5	1564.3	1571.51	1755.7	2442.77	2911.09	2225.1	587.892	1837.45	1326.29	1563.51	2577.56	1715.27	1726.21	2305.28	1696.07	1548.39	1479.39	1498.43	2082.45	1128.32	1501.99	2679.69	1170.26	2139.28	1750.51	2221.07	1390.24	2234.44	1594.69	1184.36	1870.55	1683	2566.84	2936.32	3920.48	1118.93	1586.08	1881.98	4181.65	1924.69	1789.78	1927.66	4475.65	1367.22	1886.4	1702.05	2201.58	958.126	1996.45	2066.77	1818.46	1489.01	2828.51	1613.09	1392.89	1530.62	1579.23	2091.84	1886.22	1416	2612.39	1394.77	2451.01	1903.7	1788.92	2348.87	1644.09	1916.56	1836.17	3533.5	3423.38	970.194	3058.29	2190	1838.12	1629.4	2069.23	1780.72	1502.2	1846.74	2977.85	2186.58	1200.92	1952.21	1541.62	1917.56	2073.9	2108.95	1282.09	1401.63	1453.82	2008.2	2199.16	1480.42	1471.19	2044.36	1077.21	1181.81	3279.41	2129.13	2198.27	1931.89	1479.86	1910.9	1713.12	1988.69	1732.56	1408.43	884.659	762.056	1678.23	1381.17	1646.75	1922.71	1662.36	2821.79	1587.34
CDK11B	699.058	377.347	703.234	462.71	681.994	638.544	504.031	302.204	509.469	587.639	446.695	811.744	671.544	598.938	564.884	525.346	796.551	972.085000000001	897.589	566.956	994.413	677.007	899.818	754.656	580.612	805.378	796.046000000001	1153.74	777.114	825.71	741.119	910.393	687.355	1231.18	1170.26	506.203	483.075	707.436	524.905	860.378	900.572999999999	622.546	658.913	973.841	476.591	487	811.49	679.902	913.158	833.153	619.567	516.091	550.181	789.479	531.897	998.49	570.163	896.550999999999	414.514	655.284	631.048	700.135	433.826	757.457	694.352	1098	760.791	871.503	460.366	421.943	732.743	832.496	835.358000000001	601.523	822.295	544.34	747.367	641.943	488.7	586.321	460.781	492.275	969.785	604.586	727.422	972.016	793.364	549.526	328.029	496.159	754.588	820.978	511.964	885.981	701.342	576.853	460.607	872.654	951.838	946.878	840.333	583.044	590.907	731.018	443.883	664.354	690.994	784.675	1540.24	578.874	1696.12	484.987	561.839	1056.11	498.728	416.351	771.989	487.337	585.442	296.664	687.923	682.049	1038.31	377.599	522.963	711.331	959.402999999999	416.361	1006.86	495.637	1593.23	734.556	761.192	1131.38	611.46	499.266	495.124	538.102	735.688	416.721	583.512	841.24	720.658	609.023	433.762	507.534	531.043	514.316	1004.24	399.482	667.305	1066.36	897.477	718.774	640.304	472.042	507.366	789.362	656.647	633.063	741.064	523.72	642.621	693.264	865.664	472.981	711.345	1034.14	746.741	552.042	464.854	441.406	482.58	674.371	568.507	724.174	652.699	858.566
CDC34	845.476	614.297	685.593	692.954	1543.65	914.474	641.486	710.729	615.765	1587.82	2515.52	1571.16	1115.59	1282.68	1134.07	1430.84	1528.3	3067.34	1317.22	1412.22	2756.67	4147.89	1076.24	1094.04	1919.18	1940.06	1793.51	1372.83	1997.34	2431.2	998.902999999999	1578.01	2244.06	3464.71	1024.02	1092.53	1140.31	749.554	786.04	1510.62	1923.39	1238.14	2366.56	1640.91	1581.11	1276.99	2609.61	1207.72	1862.33	1538.72	1595.4	1234.86	1372.34	1829.34	1616.36	1382.89	751.88	1619.64	648.237	1661.01	986.231	1051.61	1415.54	1227.61	1406.12	2945.15	996.362	5337.23	543.83	2009.5	1610.14	2137.41	1969.22	2028.55	1940.85	1670.31	1148.59	1020.32	1004.48	1242.86	1320.39	895.594	1475	907.41	1130.12	1344.62	1370.03	1241.71	777.158	1033.93	1162.09	1371.85	1299.28	1518.08	2505.04	1269.4	700.586	1170.53	1106.31	1049.79	2159	947.845	1440.73	1732.8	1350.21	1374.95	1733.61	2849.64	2877.22	1415.13	1423.64	1141.2	1399.87	1385.82	1010.29	854.784	1348.7	1076.14	1515.69	2397.04	1907.64	1817.32	4015.57	1235.36	1082.47	1492.76	1144.41	1026.79	1696.27	533.056	1655.79	1087.27	952.986	2798.42	1257.77	662.414	746.377	984.857	910.135	996.084	775.579	4349.94	517.4	2012.84	1113.02	984.912	608.437	1550.25	1338.52	1118.97	1112.34	1663.07	1574.75	1199.58	1201.5	983.475	656.675	1895.52	867.011	1072.59	1212.5	1342.75	1278.78	599.174	1117.95	1666.67	1364.7	875.053	791.131000000001	1267.64	822.566	1242.45	809.037	1790.88	986.463000000001	1323.6	1657.33	4056.09
ERCC8	215.982	236.749	191.893	263.662	145.337	188.322	310.217	280.86	199.296	246.249	183.908	174.617	141.177	221.133	243.094	212.617	328.985	123.45	124.578	246.667	166.977	104.135	162.173	122.678	131.816	154.746	205.14	190.27	154.132	169.418	188.151	210.994	130.553	149.294	151.434	199.826	282.301	190.363	251.456	112.556	98.4272	207.732	247.395	90.5077	193.018	188.839	144.089	213.235	109.519	187.744	230.704	173.418	208.511	194.771	203.474	125.482	244.231	145.544	216.228	220.213	257.522	243.655	194.232	233.557	186.747	140.884	179.172	168.348	211.064	130.94	162.162	112.721	227.218	97.3646	217.547	197.993	196.129	170.312	289.556	304.025	339.806	200.41	148.047	248.551	216.249	167.033	155.44	198.192	158.867	174.028	297.773	187.492	270.637	107.367	180.975	167.711	289.363	302.401	163.063	100.212	143.829	268.76	194.769	131.187	247.976	155.382	137.516	131.976	183.818	171.037	123.561	206.757	209.667	143.576	135.128	274.767	234.688	123.239	195.665	204.444	275.661	177.919	196.409	207.135	123.457	140.629	134.843	254.114	157.511	297.222	50.0098	146.691	337.601	161.506	313.836	283.986	272.774	219.037	226.282	209.985	242.105	117.386	292.243	156.422	191.165	186.785	199.865	181.588	127.432	268.308	122.235	180.312	158.071	204.602	171.139	282.627	263.389	195.099	260.103	319.605	218.673	121.309	214.942	141.529	193.466	233.793	279.079	186.992	221.286	194.476	272.065	201.442	255.448	277.778	261.572	315.73	161.915	77.7244
CRIP1	490.029	1465.07	988.007	626.544	877.976	421.875	127.554	1074.67	305.03	1862.31	1027.01	519.979	1288.18	964.597	826.518999999999	748.598	495.973	7822.8	2725.04	693.889	1264.43	4567.93	2849.27	1485.68	972.146	1697.91	218.215	172.929	1117.73	402.967	2447.07	1418.6	319.13	2137.3	2443.63	781.929	458.277	313.504	276.89	811.163	2468.8	194.845	1540.55	4452.54	3913.76	501.821	1369.46	1655.02	854.145	315.877	573.934	1599.63	1003.19	1509.94	382.864	3769.97	436.09	2706.56	1073.08	523.822	213.411	771.574	236.021	501.246	347.39	577.987	2256.48	479.023	794.894	591.341	2475	2537.84	76.5492	1362.37	69.869	2461.78	570.918	729.243	168.982	679.557	239.764	883.957	3649.61	189.373	265.73	1683.69	731.002	541.531	854.444	1038.86	149.663	617.523	1813.42	361.948	810.963	1663.61	326.633	967.033	3004.5	1269.67	1151.16	1219.27	1717.31	942.857	1780.69	457.421	1811.76	2013.13	6491.84	538.054	25150.4	494.705	1352.17	1349.06	315.651	138.442	437.841	555.018	1253.28	170.667	151.181	588.562	2529.09	289.67	1263.21	1286.04	285.137	1057.79	5518.93	676.81	161.75	1688.92	232.715	1327.26	419.121	80.1922	453.934	491.076	192.74	202.154	311.579	6000	125.786	1202.29	505.04	438.606	2016.34	862.331	956.226	5515.57	296.857	5188.38	801.292	497.071	237.131	337.288	658.273	517.799	157.601	489.877	407.171	1134.34	456.817	127.066	1044.55	819.806	1496.77	317.501	160.976	339.306	928.571	867.508	711.406	466.457	444.105	1124.72	1554.99	6028.04
CRY2	853.073	1548.25	1343.25	2055.14	1343.75	877.467	1834.67	1454.87	1696.68	3225.51	1035.63	2146.51	1153.71	1020.15	1701.66	1438.79	2371.41	1108.09	1909.62	1206.11	1869.03	1358.13	1206.6	1225.23	1315.81	659.582	1694.32	932.081	1009.3	731.275	923.203	1728.96	1695.74	923.612	880.587	2337.53	1389.97	1268.29	1012.54	2186.37	835.616	696.907	1522.88	525.386	782.341	2248.58	492.611	1094.98	1219.04	2450.7	2301.39	1167.58	1036.17	875.528	1084.37	1756.75	1351.83	1267.45	1284.39	4197.88	1952.07	1275.8	1566.22	894.727	1136.04	940.261	2146.88	963.886999999999	2582.13	1351.64	982.432	709.608	2692.18	1605.42	1034.54	815.206	1196.23	1144.18	1527.57	2093.15	1152.38	1321.41	875	726.914	660.354	1022.24	1270.73	1423.03	1953.63	1307.68	2133.09	2756.23	2588.77	1561.8	850.463	758.072	1935.09	1933.25	907.207	1254.1	932.535	1601.38	1234.84	851.912	1635.82	3118.38	1766.67	1215.36	1552.16	2205.16	1217.19	1746.34	1444.44	2069.01	927.422	2095.68	1559.73	1407.13	1419.28	1342.81	1434.85	488.483	840.147	2105.96	1836.54	1287.53	2306.38	1902.41	913.672	1992.36	3581.17	679.159	944.792	1102.61	1799.11	1989.23	1364.39	1348.3	1801.75	2469.9	1677.47	788.483	1139.2	1013.76	687.585	1548.91	2354.95	1973.4	731.518	799.59	1177.53	959.849	1041.38	1094.56	1824.02	1728.81	1848.12	986.129999999999	1432.59	1449.88	1652.2	1880.48	1260.13	1215.39	1723.38	858.091	943.457	2163.89	2022.62	1318.03	1159.24	1877.42	1564.18	712.788	1391.27	1019.1	1278.51	1184.29
MAPK14	1222.63	1089.43	816.76	1821.52	689.484	992.599000000001	1043.96	1670.71	743.938	995.587	895.977	993.884	1151.62	1023.97	797.053	1048.13	853.999	754.282	908.2	861.111	718.808	618.683	1241.51	989.550999999999	1184.39	602.746	697.024	918.593000000001	597.927	686.289	959.956	788.161	644.787	640.495	482.989	1141.18	903.769	1096.97	697.743	705.377	731.101	733.505	1005.89	792.495	819.302	732.041	651.478	1153.8	854.145	841.226	1056.92	792.341	704.255	803.507	915.168	713.438	934.923	1025.8	1219.47	958.098000000001	1081.85	895.093	1496.17	942.282	981.928	1163.2	850.841	659.055	857.021	877.508	625.676	734.836	1504.66	907.028	976.578	920.769	898.064	879.427	1107.58	984.069	1067.54	1035.23	908.203	1412.9	1040.32	778.374	802.245	871.368	687.849	964.171	894.873	642.594	1096.87	1230.29	823.861000000001	821.205	1219.01	930.81	919.82	942.281	916.322	1097.39	1071.23	809.255	891.375	914.842	732.669	711.096	525.195	1143.3	794.321	669.692	731.952	588.868	789.654	1173.16	940.57	1135.56	634.341	1005.04	665.984	529.785	454.25	1297.12	854.815000000001	1003.29	925.994	1447.76	753.958	1364.89	825.943	789.506	1165.22	738.312	1236.79	1280.42	1316.25	937.263	1159.45	1040.63	1291.37	682.17	819.287	1266.06	958.36	1234.65	1347.17	1027.45	442.607	782.058	760.186	757.312	1152.23	1031.8	927.409000000001	1247.46	1097.12	893.204	1375.06	644.346	926.423	1009.45	991.325	882.231	849.809	995.916	1208	934.104	983.592	1032.47	1088.26	894.998000000001	1115.22	714.361	900.437000000001	841.573	697.047	649.84
DACH1	716.863	1525.14	204.645	796.917	1698.91	240.132	633.437	704.859	341.162	1042.81	566.092	1320.66	245.907	99.6732	567.219	35.0467	927.964	512.699	352.39	618.333	810.677	193.393	542.386	858.746	520.989	1330.15	5.8611	576.108	989.104	565.686	844.213	1267.65	895.739	379.037	40.0267	1066.46	576.043	63.6526	340.234	825.549	919.838	1020.1	736.747	818.249	611.91	378.26	400.246	356.618	1159.16	529.248	666.936	429.808	461.702	410.208	139.251	490.61	744.62	651.216	852.378	597.226	1674.91	1406.94	1616.24	1242.19	275.1	349.373	513.87	866.702	462.979	800.422	600	615.137	344.269	102.489	821.755	670.752	631.663	397.91	780.816	798.249	395.948	376.684	949.218999999999	1302.43	333.537	478.55	281.52	556.48	14.1692	1039.62	1206.63	586.456	629.099	219.714	1232.97	1364.82	1048.58	771.673	586.486	162.479	397.491	69.1857	819.699	1064.39	424.292	2725.73	458.388	221.274	190.916	516.675	162.702	825.013	640.929	1030	127.21	325.148	1600.36	864.437	386.765	416	599.621	581.414	622.972	1.065	770.37	675.319	769.028	789.896999999999	601.404	1260.76	371.948	771.553	102.837	117.183	784.994	1059.73	533.126	870.2	687.357	1887.42	1533.89	675.526	527.463	858.716	1289.48	630.073	1048.14	272.804	4.8638	733.275	1327.12	1131.77	370.821	596.234	757.589	825.847	859.312	1302.82	1330.5	734.025	582.737	528.19	1029.13	60.4339	652.1	921.899	1159.13	649.551	539.246	1729.75	1043.22	979.27	630.223	357.966	685.59	1523.03	114.562	86.5385
GADD45A	324.515	159.282	703.811	396.087	649.802	718.75	839.009	491.731	1051.25	669.903	481.034	218.368	439.449	623.094	882.136000000001	393.458	169.257	692.262	223.456	332.222	507.759	343.032	277.013	849.845	370.341	830.567	1037.87	153.179	458.145	601.101	799.781	200.423	277.788	115.258	863.242	536.924	248.991	1443.19	499.073	604.669	471.334	567.01	270.956	924.209	273.101	609.646	442.118	238.358	171.955	315.32	432.635	132.306	430.851	457.179	390.274	233.824	178.377	453.425	763.738	656.411	463.029	934.856	307.24	1072.29	998.494	281.769	400.182	920.871	433.192	197.466	304.054	1174.99	221.952	326.501	395.395	439.423	429.578	439.714	309.727	373.586	427.185	255.576	879.688	439.403	421.503	240.528	1181.78	365.039	1397.17	271.848	235.111	851.887	877.874	492.559	1272.47	665.542	215.662	291.819	213.063	2299.03	363.495	222.459	557.596	674.849	323.761	1290.38	383.243	742.613	269.695	303.896	2681.5	171.457	312.618	541.009	556.875	119.39	881.746	331.426	316.6	533.333	408.779	990.468999999999	317.543	821.086	592.593	309.583	455.447	396.096	1103.68	189.989	428.209	1030.78	395.78	1064.97	322.307	143.153	391.822	237.966	367.959	273.128	243.368	316.722	3277.99	193.578	254.548	276.795	317.863	369.51	598.249	522.135	213.62	924.206	428.483	882.845	875.055	194.492	427.258	453.999	125.595	333.432	209.66	685.693	364.625	481.921	336.445	426.748	155.897	520.753	135.698	424.412	432.666	497.521	365.326	476.939	207.86	516.292	584.521	596.955
DHX15	2325.87	1696.11	2350.69	1733.37	1771.83	2234.38	2128.17	2153.41	2065.23	1651.81	1171.26	1418.23	1891.85	1981.48	1764.27	1350	2259.33	1123.45	1149.52	980	1133.46	840.954	1366.44	1818.11	1670.07	1391.76	1172.68	1635.84	1036.41	1286.43	1309.38	1145.88	1001.63	1078.32	1517.68	1704.6	1566.62	2781.08	1925.27	2579.47	1938.1	1256.19	1093.34	1431.2	874.743	1439.02	1282.02	1836.4	1463.66	1425.63	1191.54	1168.33	1161.7	1885.08	1902.59	2883.18	1707.03	1751.66	1771.46	2375.84	1945.95	1642.98	1333.73	1839.31	1698.8	1312.86	1937.7	1085.5	2734.47	1135.16	917.568	1342.46	2134.47	1212.3	1572.45	1121.79	1401.89	1531.26	1975.8	1594.07	1524.69	1514.92	1521.09	3001.85	1780.09	1226.02	1806.13	1197.83	2538.43	2017.06	1808.39	2068.4	1805.13	1474.91	1929.46	1773.98	1766.75	1515.26	2047.75	1934.67	2028.25	1609.9	1945.46	1909.86	1534.77	2621.36	1018.97	1495.08	1120.65	1658.45	1250.96	1233.48	1012.55	1301.2	1505.41	1975.87	2080.65	1626.76	1577.3	1290.07	1920.2	945.989	1174.99	1472.31	1941.23	1180.69	1858.31	1675.85	1884.07	2356.79	1471.38	1614.04	2187.85	1508.8	2141.59	2055.84	1537.78	1439.16	1516.39	1461.09	2474.95	1091.92	2727.04	1679.82	1408.13	1497.92	1662.34	1659.63	1151.75	836.939999999999	2000.58	1897.05	2258.23	1311.3	2053.67	1823.31	1679.06	2074.43	1917.55	1793.98	1825.41	1664.91	1576.07	2127.07	1142.98	1671.26	1952.75	2181.43	2183.59	1630.09	1554.14	1801.71	1713.95	1182.91	1679.91	1364.61	2208.76	947.917
