TCGA-2G-AAEW-01	TCGA-2G-AAEX-01	TCGA-2G-AAF1-01	TCGA-2G-AAF4-01	TCGA-2G-AAF6-01	TCGA-2G-AAF8-01	TCGA-2G-AAFG-01	TCGA-2G-AAFH-01	TCGA-2G-AAFI-01	TCGA-2G-AAFJ-01	TCGA-2G-AAFL-01	TCGA-2G-AAFM-01	TCGA-2G-AAFN-01	TCGA-2G-AAFO-01	TCGA-2G-AAFV-01	TCGA-2G-AAFY-01	TCGA-2G-AAFZ-01	TCGA-2G-AAG0-01	TCGA-2G-AAG3-01	TCGA-2G-AAG5-01	TCGA-2G-AAG6-01	TCGA-2G-AAG7-01	TCGA-2G-AAG8-01	TCGA-2G-AAG9-01	TCGA-2G-AAGA-01	TCGA-2G-AAGC-01	TCGA-2G-AAGE-01	TCGA-2G-AAGF-01	TCGA-2G-AAGG-01	TCGA-2G-AAGI-01	TCGA-2G-AAGJ-01	TCGA-2G-AAGK-01	TCGA-2G-AAGM-01	TCGA-2G-AAGN-01	TCGA-2G-AAGO-01	TCGA-2G-AAGP-01	TCGA-2G-AAGS-01	TCGA-2G-AAGT-01	TCGA-2G-AAGV-01	TCGA-2G-AAGW-01	TCGA-2G-AAGX-01	TCGA-2G-AAGY-01	TCGA-2G-AAGZ-01	TCGA-2G-AAH0-01	TCGA-2G-AAH2-01	TCGA-2G-AAH3-01	TCGA-2G-AAH4-01	TCGA-2G-AAH8-01	TCGA-2G-AAHA-01	TCGA-2G-AAHC-01	TCGA-2G-AAHG-01	TCGA-2G-AAHL-01	TCGA-2G-AAHN-01	TCGA-2G-AAHP-01	TCGA-2G-AAHT-01	TCGA-2G-AAKD-01	TCGA-2G-AAKG-01	TCGA-2G-AAKH-01	TCGA-2G-AAKL-01	TCGA-2G-AAKM-01	TCGA-2G-AAKO-01	TCGA-2G-AAL5-01	TCGA-2G-AAL7-01	TCGA-2G-AALF-01	TCGA-2G-AALG-01	TCGA-2G-AALN-01	TCGA-2G-AALO-01	TCGA-2G-AALP-01	TCGA-2G-AALQ-01	TCGA-2G-AALR-01	TCGA-2G-AALS-01	TCGA-2G-AALT-01	TCGA-2G-AALW-01	TCGA-2G-AALX-01	TCGA-2G-AALY-01	TCGA-2G-AALZ-01	TCGA-2G-AAM2-01	TCGA-2G-AAM3-01	TCGA-2G-AAM4-01	TCGA-2X-A9D5-01	TCGA-2X-A9D6-01	TCGA-4K-AA1G-01	TCGA-4K-AA1H-01	TCGA-4K-AA1I-01	TCGA-4K-AAAL-01	TCGA-S6-A8JW-01	TCGA-S6-A8JX-01	TCGA-S6-A8JY-01	TCGA-SB-A6J6-01	TCGA-SB-A76C-01	TCGA-SN-A6IS-01	TCGA-SN-A84W-01	TCGA-SN-A84X-01	TCGA-SN-A84Y-01	TCGA-SO-A8JP-01	TCGA-VF-A8A8-01	TCGA-VF-A8A9-01	TCGA-VF-A8AA-01	TCGA-VF-A8AB-01	TCGA-VF-A8AC-01	TCGA-VF-A8AD-01	TCGA-VF-A8AE-01	TCGA-W4-A7U2-01	TCGA-W4-A7U3-01	TCGA-W4-A7U4-01	TCGA-WZ-A7V3-01	TCGA-WZ-A7V4-01	TCGA-WZ-A7V5-01	TCGA-WZ-A8D5-01	TCGA-X3-A8G4-01	TCGA-XE-A8H1-01	TCGA-XE-A8H4-01	TCGA-XE-A8H5-01	TCGA-XE-A9SE-01	TCGA-XE-AANI-01	TCGA-XE-AANJ-01	TCGA-XE-AANR-01	TCGA-XE-AANV-01	TCGA-XE-AAO3-01	TCGA-XE-AAO4-01	TCGA-XE-AAO6-01	TCGA-XE-AAOB-01	TCGA-XE-AAOC-01	TCGA-XE-AAOD-01	TCGA-XE-AAOF-01	TCGA-XE-AAOJ-01	TCGA-XE-AAOL-01	TCGA-XY-A89B-01	TCGA-XY-A8S2-01	TCGA-XY-A8S3-01	TCGA-XY-A9T9-01	TCGA-YU-A90P-01	TCGA-YU-A90Q-01	TCGA-YU-A90S-01	TCGA-YU-A90W-01	TCGA-YU-A90Y-01	TCGA-YU-A912-01	TCGA-YU-A94D-01	TCGA-YU-A94I-01	TCGA-YU-AA4L-01	TCGA-YU-AA61-01	TCGA-ZM-AA05-01	TCGA-ZM-AA06-01	TCGA-ZM-AA0B-01	TCGA-ZM-AA0D-01	TCGA-ZM-AA0E-01	TCGA-ZM-AA0F-01	TCGA-ZM-AA0H-01	TCGA-ZM-AA0N-01
BARD1	562.583	404.401	535.38	653.092	1044.74	474.668	611.647	933.647	536.393	258.337	39.6306	7.0849	37.037	43.3474	225.793	268.588	264.039	288.638	513.145	108.897	163.751	611.716	122.28	389.018	202.73	642.333	440.308	96.1105	110.326	329.248	342.097	282.3	234.464	271.274	449.293	181.867	172.288	80.0897	112.5	187.615	288.077	232.891	117.688	518.74	208.745	679.26	71.2341	686.209	641.09	553.995	636.827	59.0313	108.538	230.645	416.065	121.775	115.501	452.19	467.707	300.163	337.416	132.368	118.936	2.4845	4.7393	35.7143	88.6173	73.7066	70.0301	74.4	115.944	12.9643	159.522	125.977	62.1908	100.662	164.238	70.7204	77.7722	510.507	617.462	739.418	180.37	339.525	79.5247	880.595	1040.19	519.281	1002.55	1079.35	477.977	314.358	18.1484	413.087	917.86	61.214	144.017	399.42	189.397	237.732	163.842	28.8174	686.466	176.593	724.228	794.439	628.361	493.414	633.867	161.017	283.769	425.752	1354.85	477.493	144.367	429.133	292.92	690.996	864.766	150.594	169.092	84.5588	84.6339	383.179	345.318	88.1273	80.9859	469.268	644.203	276.84	1064.84	374.289	723.901	140.638	843.867	212.687	447.6	190.655	295.214	115.112	186.959	24.6433	47.619	24.6914	15.4696	25.2525	34.0467	21.9697	16.6482
BNIP3L	2228.95	1412.71	1890.77	1261.44	2569.65	1263.19	1384.27	2249.74	2527.98	3421.11	1737.7	1900.52	1037.81	2293.2	1479.01	1878.49	2350.74	1597.62	3498.48	1882.84	2938.42	1743.1	1677.47	2915.92	2075.49	2422.03	1520.54	3097.76	1565.22	2331.31	1441.72	1747.67	2190.74	1490.58	1430.82	1824.53	3769.59	873.85	4497.73	1172.9	3972.01	2971.5	2242.34	1318.17	3996.71	1929.08	3023.14	1613.15	2679.1	1631.69	1602.82	3084.76	2317.37	980.107	1620.04	1597.52	3919.54	1212.91	1698.06	2655.79	1753.8	2220.28	1274.65	1272.05	1679.3	2873.51	2117.65	1736.07	1993.22	3836	1397.43	3227.13	2405.48	2571.95	1343.46	3401.32	4181.02	6116.99	1463.09	1756.9	2278.11	2064.81	2615.11	1026.71	2412.25	1973.21	1269.51	1630.08	868.714	1769.89	1252.2	2716.46	4761.25	1967.03	1604.64	2174.9	1495.3	1680.94	2656.26	2137.77	1169.02	1392.37	1398.27	1690.36	1604.34	1231.12	1829.73	1237.47	1353.32	2946.55	1649.59	1607	2044.82	1349.29	2223.58	1598.36	1785.64	1691.99	2197.32	3331.58	2237.01	2084.56	3372.79	1670.56	2108.7	3441.86	4144.37	2591.86	1483.22	1489.19	1275.56	2424.29	2578.3	2010.58	1503.82	2009.33	2728.64	3853.38	799.358	930.169	1494.52	3204.93	1791.21	1450.17	2569.06	2146.46	3184.82	2895.45	1273.03
CDK11B	1503.31	1735.43	1710.82	1494.15	1380.6	1448.49	1563.45	1336.99	1713.18	1227.53	1864.9	2040.22	1996.89	1957.24	1028.82	1268.66	899.128	1265.7	1161.88	1026.74	430.616	1710.65	1707.99	2307.09	1746.39	1154.77	1603.27	1747.96	1277.55	951.203	1855.68	1549.71	912.907	1566.74	2190.5	980.555	1014.23	1075.37	957.176000000001	1134.9	1157.66	1317.32	1363.38	1231.36	814.358	2231.19	1830.19	2582.07	2287.34	1226.66	2144.22	2850.59	2363.81	1400.26	2794.47	1508.21	1652.04	1441.2	1300.54	1394.15	1577.57	1811.6	945.415	1153.96	1142.88	1290.02	862.933	2182.83	1610.79	897.8	1391.4	1569.82	1075.03	1079.83	1560.04	1323.85	1401.96	861.342	1638.58	1189.58	2136.56	1471.5	1965.27	1842.55	2055.94	2087.82	2317.64	1897.12	1509.79	1525.48	1599.84	813.546	948.497999999999	1058.36	1530.06	1174.55	2163.36	1834.99	1642.98	2502.57	2080.98	1874.62	1189.9	791.038	1182.38	1698.49	3303.29	3038.27	1608.12	1325.57	1489.14	2054.05	1546.04	1238.89	828.409	1093.86	1426.42	2287.72	1494.26	3129.13	2429.17	1370.73	970.784	1847.88	2159.96	695.765	2283.93	1916.68	906.91	1234.99	1549.59	1279.94	2206.12	1549.47	1667.66	884.566	1917.12	717.611	1161.16	1523.18	1102.07	3424.02	3585.87	2649.74	2481.27	2407.42	1561.19	2060.79	2467.67
CDC25C	142.836	245.002	152.302	114.641	185.642	202.672	140.579	138.464	317.586	196.118	309.172	345.978	416.667	169.175	385.604	240.316	252.227	366.369	109.201	86.5338	42.6942	395.858	353.944	312.395	363.712	252.708	255.456	333.984	247.826	259.378	198.247	296.083	459.549	439.189	345.546	168.544	405.361	438.527	27.8466	381.361	234.641	252.815	234.68	402.831	244.006	164.081	296.284	339.343	140.576	155.413	242.799	257.316	140.361	313.446	143.962	347.781	310.771	371.653	259.419	328.05	122.479	325.983	342.723	466.46	251.975	341.518	77.9221	371.368	266.566	407.6	206.716	83.7696	254.392	135.172	376.685	156.954	381.029	74.6861	623.413	108.784	60.4908	132.95	99.1829	181.7	191.956	255.533	197.729	131.176	120.066	175.012	183.321	205.954	178.05	548.971	94.7648	433.128	226.927	154.393	95.7845	181.259	266.007	223.511	196.759	274.335	422.948	318.909	185.034	134.458	182.151	377.445	335.656	217.138	206.805	154.986	114.526	269.728	198.836	133.622	240.655	241.686	173.527	172.794	87.1478	170.16	324.423	302.85	420.775	157.45	283.142	274.379	149.995	317.635	139.478	91.4832	161.611	326.964	216.284	291.837	397.907	382.433	242.931	129.702	242.674	230.051	109.945	147.475	137.16	107.576	177.581
CDC34	2401.2	3059.17	2454.45	2027.15	3424.61	3039.31	1576.78	1974.92	1826.47	968.143	3775.65	3333.43	2846.45	3541.84	1195.37	2171.54	1333.99	1745.82	1930.23	1298.01	790.763	1984.94	2793.49	2917.39	2756.49	1878.19	1412.07	2883.92	1374.46	1326.81	2392.26	1682.46	1541.07	1975.44	1566.04	1403.2	1550.08	2414.19	2143.18	3256.28	1247.49	839.633	2802.23	4269.67	1511.99	2667.34	1941.47	3109.04	3210.23	2427.57	3446.58	5731.58	3511.29	5147.85	2894.4	2731.68	2415.54	2195.01	1764.26	1755.89	2656.67	2065.2	2388.89	3954.66	2357.03	2768.6	1151.26	2731.68	1817.02	1659.2	1826.88	1772.13	1137.74	1319.54	3143.46	1488.74	3104.19	2027.1	2823.7	2975.69	2070	2766.53	1623.33	2101.15	3643.51	3027.36	2057.22	3590.56	3139.02	2460.43	2989.94	1150.83	3281.91	1970.53	4645.88	3037.55	3950.43	3629.03	2035.49	2865.08	1852.17	3539.62	2440.48	1676.4	1849.24	2538.73	2230.89	2496.61	2333.64	2091.26	2057.47	2441.9	3661.12	3017.09	1021.86	2759.08	3897.19	3041.35	2801.54	4004.5	3963.96	1889.09	1523.41	2191.11	3191.47	1798.22	2876.76	2042	1517.86	2585.48	3285.41	2463.35	2615.38	1820.11	3676.82	1702.43	2895.95	1922	1097.42	2549.37	1808.42	3129.7	3903.85	3061.73	3121.55	3334.34	1389.11	2409.85	6209.77
CRIP1	1906.77	3578.48	1203.11	1706.39	2532.72	1263.19	4047.85	1414.32	2562.93	1514.19	4821.49	4282.21	1230.71	2839.86	909.597	1756.7	946.305	1285.14	2105.16	945.066	1601.12	1945.61	5635.64	1699.57	3909.34	1762.85	1876.77	2156.48	982.608999999999	835.25	4169.64	3489.27	413.509	3885.21	4203.22	844.267	425.532	1313.95	600.568	987.125	804.174	430.542	1973.54	4239.97	839.21	1173.86	532.214	1051.3	1752.6	2897.72	2340.1	7068.62	3433.44	3261.83	1942.69	3594.43	2948.17	1333.96	4395.05	1391.07	2071.79	395.785	4036.78	12015.5	1658.77	971.726	997.708	1034.73	1359.94	538.8	2775.02	1277.49	792.692	613.793	2325.09	1156.95	1142.6	1701.26	1847.49	4196.95	1289.33	2135.58	2792.39	2864.27	2305.3	1642.59	3308.92	1199.91	2592.37	5668.35	3806.72	490.935	1419.99	1315.18	2617.59	696.502	2546.58	7185.88	2240.27	2387.79	4930.79	4640.31	1058.37	419.306	2913.43	7471.7	2624.14	1281.79	1851.72	1906.78	2180.72	3799.01	1010.18	627.35	548.03	3236.99	4325.9	5001.45	1126.9	3653.78	4847.68	2631.74	1915.16	5047.36	1732.44	532.96	3566.9	1249.68	1618.3	774.742	1466.97	668.741	1648.35	1911.59	1700.84	2802.71	1106.09	50.123	1694.27	1575.01	986.151	1479.9	1239.01	2292.08	4060.77	3412.12	1552.53	1600	4205.33
CRY2	1189.29	615.159	1673.11	707.893	1323.04	610.372	889.095	829.154	838.272	1112.49	917.548	465.83	389.661	691.15	959.726	510.535	956.158	400.57	1156.22	1448.71	1531.84	478.661	913.224	753.142	464.353	511.879	1025.67	476.348	673.37	964.061	646.721	758.202	862.826	511.137	632.862	1082.13	627.4	864.731	1851.14	541.999	1323.83	733.3	931.058	831.038	823.695	1533.08	516.334	1251.61	1243.46	883.231	1070.15	1239.15	872.851	897.85	993.681999999999	395.253	684.694	669.807	629.171	651.342	1215.79	1147.18	762.911000000001	852.795	796.208	610.863	937.357	594.188	960.843000000001	1135.2	636.165	953.378	893.886	1125.98	813.428	1356.29	439.735	1263.05	456.506	1053.56	1836.79	1019.84	959.918	1000.68	1105.12	988.666	965.379	1070.83	957.703999999999	1145.81	1161.94	990.936	792.151999999999	541.958	1463.53	310.7	592.735	1505.47	864.899	1127.18	369.586	807.591	1033.02	894.053	611.445	1111.32	1052.19	1093.19	615.561	901.564	560.373	714.222	627.711	820.513	1134.37	949.264	1480.12	1059.2	844.877	785.491	327.096	848.039	1011.42	1012.65	964.047	830.215	341.549	1062.65	544.628	858	1129.18	294.023	1236.95	684.759	1082.13	635.728	994.726	930.788	809.341	1192.03	882.862	289.235	436.813	343.27	627.624	457.576	339.494	324.242	380.688
MAPK14	1047.72	722.738	1159.26	1068.38	1091.55	908.086	864.243	883.49	932.989	2324.54	882.619999999999	857.268999999999	746.142	900.06	1200.09	1004.22	1442.86	1025.52	1409.5	1530.87	1806.86	938.075	899.446	850.275	948.693	1389.2	948.652	1066.83	1432.61	2179.39	1120.18	788.578	1324.93	947.459	903.302	1516.27	1235.6	1236.63	2418.18	1998.16	1986	1524.52	1080.78	892.348	1984.02	1029.19	1806.72	1493.67	1033.11	1265.58	1381.89	860.747	1030.26	802.15	767.148	1017.54	975.523	976.448	1203.44	982.945	1051.1	1395.46	959.311	731.056	1778.83	1253.72	2221.54	1132.81	1134.79	1476.8	1215.88	1464.97	1828.53	1655.17	1090.46	1506.62	931.567	1926.64	845.772	1056.04	1403.84	1044.31	1308.84	1019.66	692.87	894.791	826.45	955.37	852.47	1013.31	802.063	2284.26	1693.68	1018.48	1223.93	979.424	784.615	960.611	970.5	755.095	889.831	624.846	984.24	1636.15	922.403	885.498	1223.51	1013.91	794.05	1013.69	838.122	863.167	718.246	739.031	1504.56	814.075	751.697	1058.76	593.085	678.424	712.405	1207.72	1046.19	889.746	869.565	1232.38	623.239	1159.91	1252.47	1138.53	999.296	956.755000000001	963.599	1322.41	766.226	1297.57	925.327	1255.88	1661.82	1290.78	1612.23	1338.52	1238.1	892.501999999999	893.923	897.98	1329.77	955.303	667.037
GADD45A	82.7145	201.956	119.195	75.9175	109.537	211.03	120.92	140.543	1086.97	388.751	1045.17	1182.58	1573.3	1795.3	709.083	1631.1	451.724	1176.84	373.61	421.002	438.069	630.125	915.376999999999	171.324	1559.38	1119.65	1241.34	2280.82	353.804	356.974	505.692	1310.65	488.963	1179.9	400.943	686.4	680.332	1298.09	644.886	1023.3	427.026	479.878	1331.48	123.099	380.348	131.326	1022.69	107.484	100.873	135.206	131.591	125.631	181.276	69.8925	138.989	1726.52	1956.03	1048.52	832.616	1141.92	153.716	982.549	1378.72	989.441	721.169	1373.51	457.601	1110.7	1161.14	827.6	1112.91	941.411	611.384	470.345	550.53	665.563	1108.17	664.243	392.101	131.85	145.33	40.3439	410.586	164.339	346.435	100.744	71.2457	100.955	149.73	62.7386	212.744	327.049	475.782	1648.85	86.2304	1452.16	151.282	118.034	181.702	200.387	859.228	163.065	83.6303	849.289	905.888999999999	62.3248	179.23	184.168	119.909	910.039	1048.23	152.983	46.6971	255.84	448.828	130.606	198.836	148.606	101.035	162.101	233.957	726.716	511.993	276.66	178.094	805.036	91.5493	174.105	1420.88	1080.29	123.052	909.11	57.0055	266.257	81.0385	464.086	113.514	331.186	617.167	911.075	675.13	83.0091	208.791	189.1	225.414	127.273	281.128	443.939	117.647
DHX15	2351.63	2100.73	2719.15	2236.8	2228.94	2501.27	2259.27	1989.03	3457.93	2511.7	1919.73	1879.85	3653.55	2319.69	3243.79	2747.32	2786.21	4714.6	2544.49	1930	2574.53	4317.15	3240.85	2434.66	3106.27	5083.8	3528.88	2857.49	2466.3	2784.75	2776.27	3480.76	3528.04	3065.11	4274.76	2866.67	5420.34	2949.84	1701.7	5763.34	3498.66	3698.37	2978.41	2248.35	2236.95	2211.54	2278.58	2476.57	2149.87	1816.07	1931.24	1859.23	1919.59	1865.05	2816.34	3114.55	2919.92	3409.8	3028.53	3155.87	2328.97	2977.28	2774.65	1697.52	1471.56	2848.21	1928.19	2834.3	2712.35	2854.8	2291.42	1884.82	1992.27	2153.1	2614.84	1664.24	3937.75	1653.01	4010.94	2145.86	2510.56	2312.83	2141.83	2119.05	1945.16	2599.66	2325.28	3047.29	2271.37	2626.35	3239.67	3364.76	2015.94	4600.4	1856.85	3994.86	1661.11	1856.94	1746.47	1877.72	7595.1	1477.42	2472.48	2429.18	4452.91	2175.3	2293.62	2479.87	2199.54	2578.88	4203.22	2189.77	3559.46	2371.51	2955.09	2188.87	1678.95	1661.12	2597.08	1818.64	2067.91	2167.89	1992.25	2010.84	2602.84	2314.39	1829.23	2455.84	4214.59	3744.11	2479.54	3886.25	2824.18	1654.89	2616.04	2999.53	3115.98	3762.03	2607.72	2845.06	2602.42	757.458	1043.96	2074.07	1270.72	1126.26	1750.97	1203.79	1061.04
