TCGA-3G-AB0O-01	TCGA-3G-AB0Q-01	TCGA-3G-AB0T-01	TCGA-3G-AB14-01	TCGA-3G-AB19-01	TCGA-3Q-A9WF-01	TCGA-3S-A8YW-01	TCGA-3S-AAYX-01	TCGA-3T-AA9L-01	TCGA-4V-A9QI-01	TCGA-4V-A9QJ-01	TCGA-4V-A9QL-01	TCGA-4V-A9QM-01	TCGA-4V-A9QN-01	TCGA-4V-A9QR-01	TCGA-4V-A9QS-01	TCGA-4V-A9QT-01	TCGA-4V-A9QU-01	TCGA-4V-A9QW-01	TCGA-4V-A9QX-01	TCGA-4X-A9F9-01	TCGA-4X-A9FA-01	TCGA-4X-A9FB-01	TCGA-4X-A9FC-01	TCGA-4X-A9FD-01	TCGA-5G-A9ZZ-01	TCGA-5K-AAAP-01	TCGA-5U-AB0D-01	TCGA-5U-AB0E-01	TCGA-5U-AB0F-01	TCGA-5V-A9RR-01	TCGA-X7-A8D6-01	TCGA-X7-A8D7-01	TCGA-X7-A8D8-01	TCGA-X7-A8D9-01	TCGA-X7-A8DB-01	TCGA-X7-A8DD-01	TCGA-X7-A8DE-01	TCGA-X7-A8DF-01	TCGA-X7-A8DG-01	TCGA-X7-A8DJ-01	TCGA-X7-A8M0-01	TCGA-X7-A8M1-01	TCGA-X7-A8M3-01	TCGA-X7-A8M4-01	TCGA-X7-A8M5-01	TCGA-X7-A8M6-01	TCGA-X7-A8M7-01	TCGA-X7-A8M8-01	TCGA-XH-A853-01	TCGA-XM-A8R8-01	TCGA-XM-A8R9-01	TCGA-XM-A8RB-01	TCGA-XM-A8RC-01	TCGA-XM-A8RD-01	TCGA-XM-A8RE-01	TCGA-XM-A8RF-01	TCGA-XM-A8RG-01	TCGA-XM-A8RH-01	TCGA-XM-A8RI-01	TCGA-XM-A8RL-01	TCGA-XM-AAZ1-01	TCGA-XM-AAZ2-01	TCGA-XM-AAZ3-01	TCGA-XU-A92O-01	TCGA-XU-A92Q-01	TCGA-XU-A92T-01	TCGA-XU-A92U-01	TCGA-XU-A92V-01	TCGA-XU-A92W-01	TCGA-XU-A92X-01	TCGA-XU-A92Y-01	TCGA-XU-A92Z-01	TCGA-XU-A930-01	TCGA-XU-A931-01	TCGA-XU-A932-01	TCGA-XU-A933-01	TCGA-XU-A936-01	TCGA-XU-AAXW-01	TCGA-XU-AAXX-01	TCGA-XU-AAXY-01	TCGA-XU-AAXZ-01	TCGA-XU-AAY0-01	TCGA-XU-AAY1-01	TCGA-YT-A95D-01	TCGA-YT-A95E-01	TCGA-YT-A95F-01	TCGA-YT-A95G-01	TCGA-YT-A95H-01	TCGA-ZB-A961-01	TCGA-ZB-A962-01	TCGA-ZB-A963-01	TCGA-ZB-A964-01	TCGA-ZB-A965-01	TCGA-ZB-A966-01	TCGA-ZB-A969-01	TCGA-ZB-A96A-01	TCGA-ZB-A96B-01	TCGA-ZB-A96C-01	TCGA-ZB-A96D-01	TCGA-ZB-A96E-01	TCGA-ZB-A96F-01	TCGA-ZB-A96G-01	TCGA-ZB-A96H-01	TCGA-ZB-A96I-01	TCGA-ZB-A96K-01	TCGA-ZB-A96L-01	TCGA-ZB-A96M-01	TCGA-ZB-A96O-01	TCGA-ZB-A96P-01	TCGA-ZB-A96Q-01	TCGA-ZB-A96R-01	TCGA-ZB-A96V-01	TCGA-ZC-AAA7-01	TCGA-ZC-AAAA-01	TCGA-ZC-AAAF-01	TCGA-ZC-AAAH-01	TCGA-ZL-A9V6-01	TCGA-ZT-A8OM-01
BNIP3L	1934.36	2547.23	1879.31	1904.54	1997.23	2257.99	1602.57	1809.58	2331.95	2440.28	1558.88	1608.95	2420.35	3329.69	2548.16	1740.31	1969.33	2181.02	1131.2	2037.65	1434.47	1795.92	2129.77	2239.76	1897.09	1024.08	1772.77	639.807	800.063	781.974	1617.35	2026.35	2082.25	1993.38	1899.57	1762.17	1384.72	1536.53	1653.36	2020.55	1641.72	1727.2	2600.23	4363.19	1864.09	1511.8	1498.95	1355.69	1611.98	1375.17	1889.28	1632.81	2470.53	1814.91	1826.98	1404.52	2568.35	2227.45	1767.73	2814.16	1962.85	2611.71	2345.47	2786.8	2259.01	2549.04	2664.98	2043.3	2534.9	1610.01	882.37	1608.86	3985.96	1260.63	2470.71	1605.04	1461.75	1148.32	2037.68	1845.66	1545.45	890.279	1427	1447.43	3290.99	1972.74	2322.19	3827.64	1681.85	4884.12	2743.92	1629.42	2126.51	1893.21	1921.06	2729.01	1616.88	1560.51	2590.68	1968.45	1177.92	2220.44	1350.16	3449.56	2571.02	2579.82	3299.77	2540.8	1642.41	1973.31	2161.94	1523.34	1987.63	2108.74	1568.7	1451.47	1794.14	2482.59	753.695
CDK11B	1888.2	1071.95	1883	1177.59	754.108	1792.18	986.853	1481.2	1564.05	1691.9	1509.3	1673.33	1262.87	658.144	1860.04	1084.75	1588.78	1570.22	1494.95	1530.36	1628.43	1110.05	1408.16	1531.11	1091.61	1030.16	1276.43	774.998	1332.73	608.189	1215	1186.15	2013.52	1151.65	1509.16	1772.73	1133.77	1760.27	1431.36	2074.93	1308.59	1249.29	1228.28	683.975	1488.69	1350.78	1167.11	1306.57	1974.19	1713.59	1400.38	1163.62	1705.87	1077.62	1274.46	1831.81	1042.18	768.587	1399.79	1009.17	1572.83	1705.61	1264	976.048	1256.82	1273.38	871.695	1733.67	1071.52	1954.7	1639.76	1300.83	1281.51	811.688	966.457	1918.59	1081.81	1134.44	1253.86	1595.33	1438.78	1582.47	1683.38	1598.97	920.039	1627.27	950.176	1131.8	1454.51	1172.92	846.169	1234.02	973.515	875.452000000001	1666.96	512.525	1092.17	1606.26	1082.84	1358.16	1287.66	1312.73	1395.32	837.202	1157.78	1233.61	1039.41	1015.57	2052.94	1502.05	1118.5	1524.93	1160.95	1287.15	1757.75	1914.15	1200.25	861.363	1055.44
CDC25C	466.44	11.4428	311.961	143.644	11.3731	434.07	167.754	502.468	330.92	378.509	329.007	132.294	86.5208	97.8845	176.299	326.357	324.167	308.142	342.122	296.377	363.505	16.2411	391.051	302.498	136.23	49.8719	183.126	260.416	109.002	186.266	232.894	368.466	439.627	72.8477	208.298	503.121	464.639	238.872	261.029	261.471	214.93	20.6186	109.61	110.631	441.818	27.3605	390.44	421.006	349.163	311.05	42.0463	113.917	371.191	172.05	263.792	367.265	43.0514	11.6927	399.984	93.1532	359.862	274.938	13.1785	15.6155	96.7655	13.4615	9.0351	246.175	56.7376	329.017	88.0069	175.276	37.0213	171.719	3.6401	263.865	175.353	63.9343	151.654	186.954	284.44	248.492	240.744	332.077	6.5978	365.414	125.904	242.256	322.793	28.4335	14.3885	120.494	6.3785	13.0766	92.7097	35.6109	429.076	324.077	9.5743	195.765	122.486	120.771	361.976	9.2059	3.5336	79.2274	48.0244	108.388	490.506	299.981	173.898	292.082	132.255	157.782	82.879	333.573	405.147	23.009	411.823
CDC34	997.016	777.067	2045.26	884.809	556.172	1124.49	1017.71	1022.45	849.018	1081.27	1504.32	982.44	784.548	1539.06	1946.29	1101.55	1232.78	1172.5	2755.81	1265.98	2052.86	944.118	1085.7	839.968	971.08	594.705	1283.32	2436.09	2253.7	2513.3	1660.21	697.408	934.765	576.159	724.177	1147.32	1974.54	869.521	1318.28	1410.62	687.925	598.731	600.225	1307.88	1141.82	1484.98	2814.56	1482.79	1073.39	817.826	700.771	673.628	998.840000000001	988.466	1000.09	1314.7	634.819	329.856	802.998	667.443	1001.62	1493.15	622.529	652.542	1084.07	898.558	672.57	849.937	530.795	1115.56	2245.04	972.543	621.277	934.801	597.429	1530.53	589.14	1096.17	720.129	1230.13	2423.31	3843.58	1970.76	1722.13	441.614	1123.4	455.587	655.515	1141.49	885.73	609.521	582.837	622.254	731.808	1182.75	552.114	1476.8	1123.07	481.842	752.377	784.98	1293.08	1657.36	533.402	959.011	618.447	1985.37	607.793	1607.59	690.223	541.852	1470.37	941.009	1501.07	994.547	1417.69	1777.38	507.389	3617.73
ERCC8	199.9	154.304	94.2888	189.078	225.243	200.655	111.008	176.405	188.728	148.561	200.604	139.538	152.109	232.078	143.608	241.085	234.504	184.405	107.345	159.24	149.167	182.925	170.715	209.878	227.718	143.467	159.156	104.832	130.543	101.288	170.411	240.969	131.686	215.037	200.858	173.533	149.929	197.418	158.088	137.857	235.01	178.694	232.357	141.459	212.727	135.73	143.444	125.331	171.614	198.272	103.013	189.861	183.908	188.933	206.178	169.661	275.68	309.548	203.022	223.102	227.113	182.891	206.15	260.036	217.108	228.365	264.185	178.793	198.208	160.3	159.333	174.253	256.17	220.491	168.354	138.375	193.738	129.297	152.114	157.097	112.103	24.1341	143.535	149.751	161.866	172.337	197.604	173.537	156.418	179.721	239.094	199.65	249.114	199.54	168.001	293.283	141.405	172.323	189.571	153.414	203.844	168.789	161.654	225.29	144.876	183.681	285.964	169.907	146.835	229.893	221.387	163.083	110.847	73.5608	182.116	148.095	181.927	219.379	133.99
CRIP1	2260.57	2549.31	8586.21	2106.01	2504.58	2514.33	11304.1	1447.22	3509.82	2825.9	2260.79	3659.82	2007.84	22157.2	5971.4	1098.06	1796.17	2625.51	10485.9	3852.5	9518.46	2352.39	4336.22	1992.02	5906.2	4805.81	4638.54	29684	5676.27	28735.6	3474.83	1512.11	2089.14	1102.06	1268.67	1741.57	8726.31	1758.41	4563.55	2348.66	1622.39	3232.09	3139.26	2732.26	3315	4807.94	5811.62	11918.8	3864	3123.6	3934.13	3182.84	2679.74	709.817	974.001	3340.65	3333.08	164.005	1705.24	1008.38	3967.28	1565.98	922.498	521.856	3033.13	1025.96	457.535	2415.05	1078.76	444.915	11661.2	438.531	681.277	8609.31	1049.25	1572.55	2929.21	1824.45	1845.13	5085.9	4870.05	33578.5	6981.58	4066.61	1076.32	2707.03	708.081	398.692	1783.52	311.159	1118.02	2002.8	607.725	790.895	833.263	1433.41	3870.53	3750.42	1088.1	1688.42	852.034	2233.54	4476.91	1333.67	337.809	1660.23	221.022	1403.92	2634.18	866.392	1302.02	4256.95	2316.84	8228.15	918.212	2270.31	3964.09	773.183	13453.2
CRY2	804.078	1866.56	598.06	2123.91	1634.95	810.811	591.488	871.836	492.244	348.151	766.315	1236.95	1346.65	915.909	791.01	977.519	776.477	676.35	1020.72	682.902	897.9	1755.74	1196.74	939.432000000001	1138.25	766.524	1558.96	484.223	911.649	1243.78	605.216	728.857	888.574	1138.29	1256.65	843.945	788.543	1227.32	951.681	911.077000000001	949.337	1467.62	1340.47	442.486	903.182000000001	1667.92	830.11	626.655	793.848	805.457	1044.15	757.167	764.737	861.28	1176.56	980.04	1026.81	1554.51	700.351	1070.8	680.938	969.685	1250.08	1475.47	1503.55	1393.27	1148.9	1045.96	1492.35	912.263	769.629	1515.08	689.787	942.93	991.924	688.515	505.747	1315.12	885.11	949.012	820.413	992.179	827.036	833.84	1344.63	804.899	1254.92	1468.1	897.269	2550.43	989.743999999999	1037.13	1282.78	1136.7	582.104	1977.42	873.619	1011.54	2414.36	1177.61	1224.41	1682.55	1059.08	987.389	895.406	1471.82	1292.02	1244.94	775.317	957.204000000001	1142.81	876.77	419.125	567.164	719.193	930.985	981.448	1558.66	950.738999999999
MAPK14	1830.43	1379.72	1053.88	890.317	1214.98	1557.74	821.787	1960.52	1623.06	1260.84	1300.03	1314.75	1542.02	786.584	768.827	1270.54	1718.12	1049.36	1186.44	1236.27	1368.57	1105.25	1918.11	1355.99	1132.53	861.827	1202.78	508.351	1133.53	1045.49	1099.41	2117.72	1950.97	1342.42	1669.24	1664.79	1307.64	1648.66	1350.84	1506.76	1583.72	1595.29	1317.57	927.558	1384.55	1053.11	1043.15	1298.32	1435.51	1348.61	1408.55	1196.89	1648.42	1147.05	1255.55	1663.67	1002.64	2184.37	1840.84	1391.71	2210.35	1382.29	1273.61	1521.41	1289.39	1453.37	1716.66	1588.85	1293.39	1322.13	947.368	1145.77	1516.6	1405.59	1179.84	1097.48	1017.52	690.419	1644.3	1632.98	1231.46	606.034	1197.65	1299.14	1367.07	1079.95	1650.47	1519.72	1589.42	994.099	1651.61	1577.23	2046.42	1700.93	1174.32	1769.54	1601.86	1507.03	1738.16	1726.88	1608.85	1080.64	1453.28	1522.84	1444.52	1457.23	2472.44	1559.15	1722.78	2094.94	1850.36	1619.3	957.659	594.883	1458.56	1270.31	1503.29	1659.03	1001.97
GADD45A	716.062	1173.06	683.728	431.849	826.075	1080.26	2640.57	881.707	940.021	685.967	912.768	590.283	767.802	612.968	517.221	529.457	792.449	637.908	341.494	1252.5	418.537	1307.4	800.486	504.62	527.417	1847.31	523.49	366.911	678.567	317.597	275.755	571.611	538.493	561.356	502.432	857.678	457.567	573.564	655.987	656.22	599.425	659.794	586.336	971.121	711.818	564.378	339.513	333.627	658.392	637.744	1913.1	646.288	619.635	948.885	587.372	943.446	774.169	753.562	755.652	1436.89	800.093	667.934	1175.71	699.822	356.608	675	390.314	769.538	344.158	590.26	545.298	1164.53	1133.62	545.639	358.548	596.639	1126.91	4803.29	666.36	706.018	525.376	134.078	548.32	594.141	257.315	1169.33	656.621	379.059	830.792	497.318	991.887	781.436	822.112	788.957	2983.57	696.873	429.96	570.448	711.166999999999	551.858	450.603	535.952	942.535	232.106	568.905	569.176	865.532	519.091	763.291	577.049	561.326	868.904	1134.16	3327.29	616.685	795.83	360.862	545.076	146.798
DHX15	3686.72	2145	1535.02	2529.14	2455.48	2955.77	2762.76	3733.48	3179.94	2158.02	2508.57	2262.54	2581.95	2001.01	1338.59	3490.31	4251.93	2169.01	1635.91	2293.96	1907.31	1832.67	3556.56	3539.18	2423.16	3696.33	2386.86	1160.64	1868.11	1051.5	1500.13	4305.99	3611.83	2632.26	3159.94	3109.86	2162.66	3163.78	2588.76	2827.34	3537.42	2726.94	2875.75	1676.95	3119.55	1336.91	1592.32	1969.11	2974.1	2956.98	2525.58	2451.49	3599.28	3111.85	2851.71	3208.25	2006.04	3433.95	4074.84	2485.79	4253.97	2992.7	2529.02	2519.63	2062.04	1661.06	2743.04	2928.45	2212.02	2945.69	1830.31	3375.6	3600.43	2642.17	2701.4	2370.31	4876.42	2588.8	3430.61	3301.79	1902.4	317.318	1555.34	2137.35	2139.89	2160.39	3276.24	3104.04	3295.08	2051.5	2423.39	3451.84	2828.84	2565.44	2513.27	3365.66	2217.41	2942.29	2217.43	3057.48	2974.97	2725.84	2698.71	2659.85	2296.11	2414.27	3237.83	2879.68	2925.95	4735.57	3944.31	3045.62	3010.47	1627.93	3731.19	2402.59	2102.33	2988.79	1642.36
