TCGA-N5-A4R8-01	TCGA-N5-A4RA-01	TCGA-N5-A4RD-01	TCGA-N5-A4RF-01	TCGA-N5-A4RJ-01	TCGA-N5-A4RM-01	TCGA-N5-A4RN-01	TCGA-N5-A4RO-01	TCGA-N5-A4RS-01	TCGA-N5-A4RT-01	TCGA-N5-A4RU-01	TCGA-N5-A4RV-01	TCGA-N5-A59E-01	TCGA-N5-A59F-01	TCGA-N6-A4V9-01	TCGA-N6-A4VC-01	TCGA-N6-A4VD-01	TCGA-N6-A4VE-01	TCGA-N6-A4VF-01	TCGA-N6-A4VG-01	TCGA-N7-A4Y0-01	TCGA-N7-A4Y5-01	TCGA-N7-A4Y8-01	TCGA-N7-A59B-01	TCGA-N8-A4PI-01	TCGA-N8-A4PL-01	TCGA-N8-A4PM-01	TCGA-N8-A4PN-01	TCGA-N8-A4PO-01	TCGA-N8-A4PP-01	TCGA-N8-A4PQ-01	TCGA-N8-A56S-01	TCGA-N9-A4PZ-01	TCGA-N9-A4Q1-01	TCGA-N9-A4Q3-01	TCGA-N9-A4Q4-01	TCGA-N9-A4Q7-01	TCGA-N9-A4Q8-01	TCGA-NA-A4QV-01	TCGA-NA-A4QW-01	TCGA-NA-A4QX-01	TCGA-NA-A4QY-01	TCGA-NA-A4R0-01	TCGA-NA-A4R1-01	TCGA-NA-A5I1-01	TCGA-ND-A4W6-01	TCGA-ND-A4WA-01	TCGA-ND-A4WC-01	TCGA-ND-A4WF-01	TCGA-NF-A4WU-01	TCGA-NF-A4WX-01	TCGA-NF-A4X2-01	TCGA-NF-A5CP-01	TCGA-NG-A4VU-01	TCGA-NG-A4VW-01	TCGA-QM-A5NM-01	TCGA-QN-A5NN-01
BNIP3L	2267.27	4225.84	4062.78	2827.56	895.951	2477.21	1390.57	2482.7	2312.92	2175.4	714.908	4086.45	1502.16	1457.54	3828.31	1442.75	3151.58	3254.3	3927.8	1441.49	5151	921.477	2181.5	1121.4	7429.53	3850.02	2001.02	1481.26	1304.42	1555.38	2403.66	2813.78	2169.03	1456.67	1477.38	1346.95	1212.83	1495	1118.8	1572.49	2470.18	1082.82	1803.84	8207.79	1708.75	1479.33	2956.81	3978.33	2237.75	2436.53	4108.07	3081.36	1214.4	1691.04	3225.12	2740.85	2375.65
CDK11B	1644.77	1950.93	1179.38	999.559	1344.98	2218.1	1216.76	1035.53	1486.71	1334.63	784.737	2295.79	826.646	2361.52	541.028	643.55	578.229	802.001	1158.94	903.53	659.197	1199.88	1594.31	1176.59	1222.14	1280.8	1272.91	1595.84	831.915	862.722	911.759	1075.24	896.3	831.148	932.498	775.611	1487.56	1067.72	1984.42	1080.15	1161.71	1051.87	1261.43	1574.37	1113.44	1060.56	1116.66	925.449	910.148999999999	813.237	1056.12	1351.36	588.819	746.756	611.724	1012.14	594.311
CDC25C	222.378	294.524	338.703	302.706	328.69	182.943	283.213	492.214	251.205	244.288	246.945	535.459	419.207	503.779	182.418	197.618	278.017	315.943	270.868	328.06	218.066	143.541	473.453	597.696	207.551	351.091	288.697	240.367	202.815	214.119	334.534	324.801	209.849	281.977	314.678	214.392	187.335	220.919	214.94	323.259	216.697	306.748	153.558	892.831	218.191	162.791	142.765	273.138	538.905	77.9253	365.322	232.064	205.097	174.047	230.081	452.774	381.336
CDC34	1940.02	3962.09	1876.08	2580.87	2512.84	3597.01	1379.72	1874.57	1766.15	1097.01	1507.17	2374.71	1849.2	2345.49	1074.7	1948.29	1365.66	1098.74	1151.5	1572.98	1973.54	2278.73	4031.63	1771.82	963.432	2283.77	2245.42	1306.92	709.678	2597.5	1360.33	1666.9	1188.55	2532.08	1402.96	2339.98	2588.24	1188.49	1249.54	1703.02	1291.69	1368.1	988.763999999999	630.556	1643.64	2775.19	1105.53	1008.13	2521.61	1442.86	1072.55	1684.17	635.113	2380.54	836.109999999999	4032.47	1619.61
ERCC8	171.168	148.969	149.112	175.582	134.088	61.849	165.679	298.443	120.54	116.696	147.912	185.871	104.802	172.077	192.324	142.659	179.957	186.212	296.327	219.006	247.719	159.126	169.198	84.1825	253.014	141.031	137.475	246.809	200.355	253.51	114.108	273.469	178.35	148.009	212.695	124.256	134.041	173.7	184.173	290.845	258.338	268.916	132.023	152.043	105.865	163.437	202.02	174.718	144.572	171.237	205.987	133.467	228.56	188.98	222.873	302.834	332.544
CRIP1	83.4795	260.818	551.012	1850.22	1053.55	375.651	1601.1	226.211	2235.29	904.745	527.043	466.838	588.36	3068.92	691.705	455.217	987.428	1029.02	3392.32	655.223	3974.91	76.4431	2214.64	23529	161.297	1200.26	11166	71.2646	5162.83	1229.72	856.781	103.498	923.248	247.307	222.801	428.275	3330.04	1878.23	3634.49	40.2979	388.518	270.45	911.049	105.163	345.427	861.757	1313.71	3268.62	644.572	337.511	1260.78	368.337	1862.86	22.6571	3310.67	734.947	466.603
CRY2	898.983	1319.72	479.554	691.63	841.532	615.234	775.53	875.433	1246.38	489.631	691.531	875.321	507.461	585.594	396.203	447.83	902.658	942.092	579.716	502.188	238.139	1239.21	454.876	628.711	279.897	445.249	548.88	2156.86	779.978	519.891	1211.57	602.473	364.685	533.021	639.003	404.341	456.494	415.277	1375.43	2664.48	1713.36	618.609	817.416	380.952	524.354	644.703	691.486	470.88	676.273	436.282	915.779	602.806	479.369	1283.73	744.71	1246.16	470.867
MAPK14	767.45	1296.76	1289.14	1575.83	1438.83	876.302	2115.13	2151.38	1240.6	1427.42	2296.46	1278.4	1471.36	1116.5	1685.51	1904.89	1006.11	2314.41	1326.79	1523.62	958.942	1362.45	1090	780.682	1282.86	1400.09	595.214	1713.57	1483.68	1876.76	919.482	1722.85	730.701	1547.07	1294.08	789.84	1084.17	1476.87	4121.03	1978.97	1433.6	1119.63	1523.88	2017.95	1391.65	1216.41	1539.59	1341.31	1218.54	1245.32	1687.47	1525.05	1466.02	1831.62	1092.75	676.505	1935.1
DACH1	25.2543	245.677	1516.32	511.013	467.131	3.2552	7420.64	1167.39	1576.18	1048.86	494.315	17.8306	796.585	1430.41	56.9542	1248.85	401.221	268.728	343.489	1051.95	17.3358	244.93	705.41	167.479	78.6717	391.564	811.1	1572.65	411.958	742.98	306.494	410.203	790.151	321.78	407.933	1238.48	114.662	669.503	155.839	1713.53	176.268	1790.9	50.5618	28.2969	433.897	275.84	1699.66	805.418	396.254	633.826	1956.87	15.2305	63.1068	97.8373	59.8829	62.5738	50.2132
GADD45A	471.764	751.195	485.337	912.523999999999	393.557	4729.82	557.457	367.214	155.738	417.223	779.513	888.829	317.623	691.418	1074.29	312.096	833.333	416.55	699.082	242.343	313.412	1163.81	735.032	503.323	381.498	289.732	411.914	252.446	686.479	433.697	863.402	453.538	587.844	802.342	666.566	418.6	770.873	538.806	756.932	1577.31	1321.2	329.755	925.562	336.606	208.25	994.186	228.956	405.418	732.469	319.146	193.303	753.106	1261.73	874.356000000001	1831.16	1234.36	364.756
