TCGA-RZ-AB0B-01	TCGA-V3-A9ZX-01	TCGA-V3-A9ZY-01	TCGA-V4-A9E5-01	TCGA-V4-A9E7-01	TCGA-V4-A9E8-01	TCGA-V4-A9E9-01	TCGA-V4-A9EA-01	TCGA-V4-A9EC-01	TCGA-V4-A9ED-01	TCGA-V4-A9EE-01	TCGA-V4-A9EF-01	TCGA-V4-A9EH-01	TCGA-V4-A9EI-01	TCGA-V4-A9EJ-01	TCGA-V4-A9EK-01	TCGA-V4-A9EL-01	TCGA-V4-A9EM-01	TCGA-V4-A9EO-01	TCGA-V4-A9EQ-01	TCGA-V4-A9ES-01	TCGA-V4-A9ET-01	TCGA-V4-A9EU-01	TCGA-V4-A9EV-01	TCGA-V4-A9EW-01	TCGA-V4-A9EX-01	TCGA-V4-A9EY-01	TCGA-V4-A9EZ-01	TCGA-V4-A9F0-01	TCGA-V4-A9F1-01	TCGA-V4-A9F2-01	TCGA-V4-A9F3-01	TCGA-V4-A9F4-01	TCGA-V4-A9F5-01	TCGA-V4-A9F7-01	TCGA-V4-A9F8-01	TCGA-VD-A8K7-01	TCGA-VD-A8K8-01	TCGA-VD-A8K9-01	TCGA-VD-A8KA-01	TCGA-VD-A8KB-01	TCGA-VD-A8KD-01	TCGA-VD-A8KE-01	TCGA-VD-A8KF-01	TCGA-VD-A8KG-01	TCGA-VD-A8KH-01	TCGA-VD-A8KI-01	TCGA-VD-A8KJ-01	TCGA-VD-A8KK-01	TCGA-VD-A8KL-01	TCGA-VD-A8KM-01	TCGA-VD-A8KN-01	TCGA-VD-A8KO-01	TCGA-VD-AA8M-01	TCGA-VD-AA8N-01	TCGA-VD-AA8O-01	TCGA-VD-AA8P-01	TCGA-VD-AA8Q-01	TCGA-VD-AA8R-01	TCGA-VD-AA8S-01	TCGA-VD-AA8T-01	TCGA-WC-A87T-01	TCGA-WC-A87U-01	TCGA-WC-A87W-01	TCGA-WC-A87Y-01	TCGA-WC-A880-01	TCGA-WC-A881-01	TCGA-WC-A882-01	TCGA-WC-A883-01	TCGA-WC-A884-01	TCGA-WC-A885-01	TCGA-WC-A888-01	TCGA-WC-A88A-01	TCGA-WC-AA9A-01	TCGA-WC-AA9E-01	TCGA-YZ-A980-01	TCGA-YZ-A982-01	TCGA-YZ-A983-01	TCGA-YZ-A984-01	TCGA-YZ-A985-01
BNIP3L	1697.14	779.178	735.037	908.875	546.78	989.618999999999	688.727	527.149	930.275000000001	927.854	1668.96	844.998	1182.5	838.924	1612.37	3596.34	811.746000000001	1580.11	1491.13	665.86	1839.94	553.782	1005.38	1697.03	1289.75	800.558	508.545	617.188	1694.12	949.861	1348.25	1234.85	1339.24	572.203	2231.17	693.562	2894.12	942.219	1084.12	934.789	917.436	2648.61	1170.21	1211.75	1005.6	1581.52	410.709	762.029	891.557	1391.44	1150.5	1264.74	2225.19	1046.85	624.521	1699.94	772.26	1017.65	1927.77	1177.26	2041.35	1915.5	2016.62	2309.71	2216.08	1835.37	1252.98	855.093000000001	1747.67	1306.38	741.945	1316.07	552.861	2158.61	1814.36	1919.03	1568.14	1556.65	1357.46	804.24
CDK11B	793.493	1201.34	2093.38	1721.58	937.225	2002.73	1746.36	2168.67	2770.76	1835.98	923.69	1456.2	1620.34	939.538	1397.99	1102.78	1106.97	1613.81	1000.23	919.897	1109.96	1910.77	1191.72	1048.26	1406.01	1139.55	1983.93	1147.77	1369.21	973.781	1749.07	1056.91	1857.2	1044.43	1786.53	928.927	1272.64	1120.7	1395.34	1093.74	1917.61	1119.61	1705.07	980.073000000001	1821.85	739.712	1502.42	1281.45	1747.51	1926.51	1044.53	1340.87	1590.16	1781.95	1471.3	1287.15	749.663	2600.96	1476.72	1497.87	727.229	1467.83	1618.31	722.764	1291.6	1643.56	1078.74	1980.69	947.663	2074.15	2095.52	1750.1	1392.79	987.250000000001	955.875	1449.88	1273.62	1559.86	1611.46	1865.94
CDC34	971.399	1174.25	2807.3	2672.74	1542.76	1780.52	2148.36	3306.56	2550.08	2197.04	1010.91	1541.03	1714.17	1271.84	1498.37	1021.1	1088.9	2044.03	980.035	1857.14	1400.83	2407.36	880.069	1029.48	1228.01	1183.05	2910.08	2566.41	1251.27	1253.48	2236.13	863.627	1228.83	2144.17	1270.16	1621.46	1187.33	1308.72	1010.97	1426	2037.04	1126.09	1598.94	1024.63	1472.82	1124.44	1712.9	1179.02	2386.52	1870.06	1107.91	1343.5	952.017	2046.85	1563.22	1504.59	1036.53	3116.18	1159.6	1333.15	1114.98	1442.21	1576.41	1019.79	1164.65	1291.03	1727.43	3674.32	910.783	1942.79	2082.78	1926.88	1410.45	1523.7	1494.9	1656.8	1066.37	1269.09	1806.54	1550.63
CRY2	569.459	641.644	1787.59	3465.13	655.065	998.517	1680	3006.79	1607.09	1517.22	411.673	1091.56	1502.67	396.835	1368.96	1297.61	576.428	937.087000000001	1298.58	1088.38	718.173	1629.42	707.765	656.534	1568.95	494.77	2452.26	1667.97	1111.52	496.866	1337.29	699.208	1629.86	724.648999999999	1257.27	2103	1113.12	815.341	867.673	1296.96	1461.86	732.123	1042.55	866.033	2527.98	717.865	839.077	867.36	589.466	1279.26	674.771	1097.05	814.613	2058.04	553.64	880.674	921.804	995.588	1626.3	2053.36	1056.22	1660.25	1071.31	1200.29	1233.36	1400.42	595.4	1294.12	382.047	1474.15	962.927	594.821	769.9	730.643	1497.56	3528.15	1714.16	1100.99	1239.62	1332.84
MAPK14	1641.47	3352.33	1111.68	1086.37	1599.29	1247.65	1287.27	623.303	794.913	1220.26	1475.48	1770.64	1215.48	2412.97	2001.05	2235.98	1883.75	1550.07	1557.23	1147.7	1115.31	1319.92	2593.63	1711.72	2197.25	2380.06	557.891	985.677	1614.99	1595.06	803.837	2679.08	2942.79	1258.56	1339.16	1042.06	2142.99	1564.59	3110.19	2376.52	2342.85	1627.17	1701.06	1817.2	2116.71	1037.37	1640.56	2474.64	961.27	1180.79	1719.35	1941.57	1610.69	1148.25	1335.25	991.739	1614.16	748.529	1292.82	1737.67	1394.27	1087.13	1330.83	1712.07	1664.22	1596.92	1497.44	573.888	1182.27	1449.94	1639.75	1044.17	2631.84	1263.73	3313.25	1224.41	1292.04	1719.83	843.424	1174.03
GADD45A	211.44	416.438	218.978	222.662	168.972	140.386	139.636	135.747	321.599	339.625	238.374	866.572	387.698	369.304	912.49	373.126	452.936	226.472	207.631	148.91	433.118	134.629	349.555	393.349	370.9	596.583	389.29	218.75	550.208	543.176	150.719	408.906	367.849	144.646	1182.29	113.305	796.38	470.403	732.252	215.08	100.229	481.789	510.106	620.138	190.648	175.359	173.74	361.075	209.14	316.384	260.484	214.431	892.585	133.566	162.835	707.545	183.79	219.118	160.035	317.363	233.95	988.616	708.311	149.932	543.647	349.442	180.579	220.947	330.597	188.119	184.685	504.189	217.04	251.994	83.2964	555.693	61.9469	761.083999999999	63.0944	330.09
DHX15	2274.77	2503.56	852.554999999999	1465.93	2116.32	816.609	1013.82	581.448	1320.01	1071.78	3010.47	1778.35	1130.88	4629.75	1557.35	2388.12	2475.46	1773.07	2020.85	1196.13	1879.15	1203.33	3604.78	2252.78	2402	4838.21	551.038	1204.43	1778.81	2805.36	975.565	3115.39	2652.75	1306.78	2082.12	1139.06	2559.28	2263.66	2808.97	2047.19	1780.2	1994.46	1482.98	2378.13	1390.49	2081.72	1372.26	2416.56	1124.71	1222.76	2289.32	2143.29	2911.12	1367.83	1454.02	932.286999999999	1874.43	716.177	1741.78	1685.15	1931.45	1954.03	1529.22	2367.08	1851.77	2083.91	2281.09	837.877	1836.34	1469.75	1276.79	1355.67	1774.25	1675.27	2965	1579.53	1307.08	1875.62	1109.72	1665.2
DOCK1	2072.01	1689.32	826.277	477.021	1623.68	688.087	413.818	279.412	676.811	1211.73	1926.83	1154.75	961.288	1633.54	1100.01	1354.8	1829.85	1426.43	2049.69	1031.48	1344.56	841.776999999999	1843.82	1588.09	1443.65	1682.36	234.397	592.448	1583.06	1687.67	732.587	1981.59	1702.52	918.929	1337.32	1266.95	1419	1657.54	1194.04	1297.42	1081.45	1664.51	887.234	2098.53	840.927	1179.06	939.333000000001	1725.62	826.491	1108.96	1315.62	1438.01	1675.57	769.231	856.322	952.54	1984.59	491.176	1346.45	816.315000000001	1440.33	1345.45	1175.34	2152.65	1557.48	1197.56	729.131	892.396000000001	981.937999999999	1014.85	653.338	1225.44	1288.56	912.248000000001	1186.09	1032.06	1099.12	1314.04	1001.16	1292
TSC22D3	1269.66	601.644	810.219	524.564	668.154	1286.21	130.182	381.222	194.413	1049.6	1695.41	549.634	830.115	652.532	395.721	481.399	1325.02	1179.16	736.025	572.034	531.827	213.047	1295.58	1059.68	217.456	528.243	583.936	248.698	719.574	1110.03	633.935	1111.11	251.144	449.538	377.688	759.657	236.199	1038.7	199.194	369.568	162.303	1463.84	356.915	490.493	425.659	419.712	635.147	301.257	326.104	255.851	1273.4	1343.5	165.758	495.105	513.41	785.29	327.626	669.118	677.768	457.047	451.578	335.814	476.139	268.035	847.018	410.515	154.174	721.664	863.711	1071.51	132.376	1292.46	340.174	367.902	389.012	927.25	284.956	356.527	640.223	218.926
E2F3	693.565	1109.59	513.139	537.242	600.327	547.701	418.182	373.303	501.476	393.101	1119.84	385.257	307.364	993.354	1011.97	1973.9	697.506000000001	576.58	448.092	332.325	430.351	714.781	1000.43	611.241	1236.18	1471.41	412.593	539.062	438.223	644.15	506.965	1309.78	2054.35	479.318	1147.79	269.528	1012.22	454.145	1532.4	1220.17	1199.33	579.46	847.872	607.174	1590.73	640.657	715.466	1387.52	457.785	640.839	909.622	643.801	1552.34	542.657	599.617	454.057	570.776	344.118	450.692	806.817	431.991	1269.26	1051.47	1306.25	525.497	1194.37	1250.43	381.636	362.343	873.487	915.955	413.557	1016.79	705.772	2062.03	360.46	704.425	1427.34	411.969	426.508
