Gene	SigI	SigII
S100PBP	2	20
STK19	22	0
DEXI	20	2
NCBP3	2	20
PARN	12	10
PRPF4B	0	22
UFC1	20	2
BRK1	21	1
POLR3B	0	22
DHX15	1	21
S100A11	22	0
CWC25	2	20
CWC22	1	21
PPP4R3A	0	22
PPP4R3B	2	20
PRPF6	19	3
DDX39B	15	7
DDX39A	21	1
GADD45A	12	10
ALMS1	1	21
CBFA2T2	2	20
TAB3	1	21
BRD2	2	20
ZC3H18	7	15
ZNF337	11	11
LUC7L3	7	15
AAGAB	8	14
SREK1	1	21
TSC22D3	17	5
CHTOP	15	7
RTL6	3	19
COG6	3	19
SETD4	13	9
SCAND1	22	0
GPATCH8	0	22
THOC1	14	8
SETD2	0	22
THOC7	18	4
BRD1	5	17
CWC15	18	4
SDE2	2	20
H2AX	22	0
UBE4A	1	21
SOCS6	0	22
ZC3H11A	1	21
SNRPA1	20	2
DDX42	1	21
FBXL4	2	20
DDX46	0	22
SARNP	18	4
TCF12	0	22
SRSF11	3	19
TMEM179B	22	0
TAF5L	1	21
VPS72	22	0
NSL1	4	18
CD2BP2	19	3
ZNF217	0	22
NCAPG2	0	22
HELQ	3	19
ZNF621	0	22
SMC5	0	22
PNISR	4	18
DOCK1	1	21
COPS4	7	15
PQBP1	22	0
SETD1A	13	9
MYADM	10	12
BAZ2A	1	21
KIF22	19	3
EXOSC7	22	0
SAP130	5	17
SRSF4	12	10
SRSF6	4	18
ZNF160	0	22
UBAP2L	4	18
UBE3B	2	20
ATXN7L3	10	12
TADA2B	4	18
U2AF2	13	9
USP36	6	16
PPP1R8	5	17
CSRNP2	0	22
PRPF4	6	16
ITPKC	19	3
RSBN1L	1	21
SF3A1	4	18
PCBP1	19	3
POMP	20	2
RREB1	2	20
RBM39	2	20
FOXJ3	0	22
SIRT7	21	1
ALYREF	22	0
CDK11B	18	4
CDK11A	14	8
POLR2D	11	11
SART1	19	3
SNRPB2	18	4
GNAQ	0	22
FAM174C	22	0
ERBIN	0	22
PALB2	0	22
KATNIP	6	16
HIKESHI	21	1
PSMD13	22	0
YLPM1	1	21
FBXO34	0	22
RBM27	0	22
SF3A3	12	10
PRPF19	20	2
OSER1	14	8
USP22	6	16
THOC6	22	0
EPG5	0	22
ABHD17A	22	0
CIR1	14	8
HDAC5	16	6
HDAC4	5	17
RUNDC1	4	18
SPINDOC	19	3
RPLP2	22	0
SMIM19	19	3
NAMPT	6	16
BCLAF1	0	22
MAPK14	3	19
PRPF18	7	15
ELOA	2	20
FYTTD1	3	19
SYF2	15	7
BCAS2	7	15
TRIP12	1	21
POLI	1	21
CWF19L2	2	20
TBC1D8	3	19
SCAPER	0	22
EHMT2	19	3
RBM8A	7	15
SIK2	1	21
POLDIP3	7	15
PLRG1	4	18
CDC34	21	1
SMC4	1	21
PRPF40A	1	21
AKAP8L	18	4
MRTFB	0	22
MAPK1	0	22
GPN3	5	17
KDM6B	7	15
TMEM209	1	21
MAPK9	5	17
MORF4L1	9	13
ZC3H14	0	22
WTAP	6	16
AKAP17A	11	11
BNIP3L	6	16
SHPK	5	17
GNB5	6	16
RBM14	12	10
SNRNP40	10	12
MAST3	17	5
BPNT1	8	14
API5	3	19
SGK1	8	14
TATDN2	11	11
RSRC2	0	22
JDP2	19	3
RBBP6	0	22
SRRM1	0	22
ISY1	17	5
PPIG	1	21
CMTR2	3	19
PPIE	22	0
TAB1	19	3
RBM6	13	9
HP1BP3	0	22
PSMD8	20	2
TMEM259	18	4
SF3B4	17	5
LIMK1	16	6
SF3B1	1	21
PRKAA1	3	19
SF3B2	17	5
RALGAPB	0	22
CBLL1	0	22
FOXO4	8	14
CPSF6	0	22
CACTIN	17	5
DGKZ	18	4
DDX17	0	22
PRPS2	6	16
THRAP3	0	22
CDK12	0	22
CDK13	0	22
CRY2	7	15
SON	0	22
CCDC32	20	2
CDYL	0	22
RBM25	0	22
MED17	1	21
KCTD20	3	19
ILRUN	11	11
PABPN1	18	4
ZNHIT6	1	21
THEM6	20	2
RUFY1	16	6
RBM10	19	3
CYP4V2	5	17
AP5Z1	18	4
GTF2H4	19	3
IK	12	10
R3HCC1L	2	20
LMNA	20	2
RTEL1	17	5
RBM26	0	22
SLU7	1	21
DAZAP2	7	15
UNC45A	17	5
E2F3	1	21
PRCC	20	2
ZBTB18	2	20
ARMCX5	1	21
SRRM2	4	18
EPC2	0	22
FIBP	22	0
HBP1	2	20
SLC2A4RG	20	2
MBD4	4	18
TARBP1	4	18
PNN	2	20
KAT6A	0	22
PSKH1	9	13
